Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Boreal/alpine Picea-Abies forest,Heilongjiang,55,50969.7733,0.1533,278.9,1.141666667,875.34,1536,42.4,117.2,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,77,68166.99282,0.0631,328.98,2.741666667,734.78,508,46.5,131.8,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,131,260427.8922,0.1363,336.56,3.933333333,813.2,1017,44.3,129.4,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,80,80616.2876,0.1025,316.61,-5.308333333,576.35,950,52.6,124.2,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,50,54536.58537,0.1583,301.23,-2.95,619.26,410,52.4,125.4,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,75,50934.93367,0.195,303.18,-3.875,605.85,487,52.5,124.5,Luo 1996
Boreal/alpine Picea-Abies forest,Heilongjiang,100,88205.12821,0.0918,301.26,-3.441666667,616.2,523,52.3,124.7,Luo 1996
Boreal/alpine Picea-Abies forest,Hebei,104,192091.5033,0.1588,427.05,-0.4,720.67,800,47.7,128.9,Luo 1996
Boreal/alpine Picea-Abies forest,Hubei,87,107665.3696,0.1028,769.49,14.39166667,921.29,3300,31,110.3,Luo 1996
Boreal/alpine Picea-Abies forest,Hubei,159,192245.614,0.057,647.96,11.96666667,900.42,3260,32,110.7,Luo 1996
Boreal/alpine Picea-Abies forest,Hubei,151,228418.8034,0.0468,798.92,9.008333333,815.44,3200,31.7,110.6,Luo 1996
Boreal/alpine Picea-Abies forest,Hubei,125,62721.34203,0.1073,711.41,14.69166667,934.42,3200,31.2,110.7,Luo 1996
Boreal/alpine Picea-Abies forest,Jilin,142,246082.9493,0.0868,453.07,1.308333333,760.47,1286,42.4,128.1,Luo 1996
Boreal/alpine Picea-Abies forest,Jilin,132,201548.913,0.0736,333.83,4.266666667,801.73,900,43.3,129.7,Luo 1996
Boreal/alpine Picea-Abies forest,Mongolia,170,91294.11765,0.0765,221.85,0.608333333,872.78,1300,43.51,117.22,Luo 1996
Boreal/alpine Picea-Abies forest,Mongolia,74,45960.41909,0.1718,120.24,3.508333333,946.82,2384,38.77,105.9,Luo 1996
Boreal/alpine Picea-Abies forest,Shanxi,56,65714.28571,0.2051,310.09,4.375,948.67,2415,38.73,111.83,Luo 1996
