Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),LAT.(N  deg.),LON.(E  deg.),Reference
Temperate typical deciduous broadleaved forest,Hebei,33,38284.46663,0.1603,352.2,7.675,1060.93,1150,41,118.6,Luo 1996
Temperate typical deciduous broadleaved forest,Hebei,26,8216.430459,0.8326,392.19,8.058333333,1058.41,1100,40.5,118.7,Luo 1996
Temperate typical deciduous broadleaved forest,Hebei,32,64102.92072,0.1438,353.48,6.275,1005.02,1005,40.6,117.4,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,38,21636.9969,0.2584,335.11,2.516666667,758.79,293,45.7,130.5,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,120,157034.3137,0.0408,297.99,-1.608333333,649.05,350,51.7,126.6,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,77,123825.3275,0.1145,384.42,2.733333333,725.68,177,46.3,133.5,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,84,136436.4207,0.0637,345.43,3.375,737.4,190,45.8,132.9,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,103,270262.5298,0.0419,406.54,2.441666667,713.19,218,46.8,134,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,32,89336.40553,0.1085,407.23,3.016666667,835.53,492,45.2,127.5,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,35,93683.33333,0.12,413.1,1.7,802.44,400,45.43,127.6,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,37,133540.3727,0.0805,411.15,2.433333333,806.01,500,45,128.2,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,40,84903.92006,0.1301,406.65,3.383333333,844.35,383,44.9,127.6,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,65,112064,0.0625,315.78,3.525,755.2,500,46.5,131.8,Luo 1996
Temperate typical deciduous broadleaved forest,Heilongjiang,69,213050.8475,0.0531,328.56,3.166666667,759.76,240,47,130.7,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,140,468011.3636,0.0352,453.07,1.308333333,760.47,550,42.4,128.1,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,157,432173.913,0.046,684.24,1.025,719.8,800,40.7,127.5,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,156,704203.5398,0.0226,406.21,3.025,802.44,650,43.3,128.2,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,39,50682.51534,0.1304,391.02,2.175,756.12,615,42.5,129,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,125,445016.2866,0.0307,572.1,4.333333333,846.29,700,41.8,126.9,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,102,173967.6113,0.0494,338.19,2.683333333,763.28,650,44.5,130.2,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,101,249373.8819,0.0559,333.83,4.266666667,801.73,450,43.3,129.7,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,38,30179.66102,0.295,333.83,4.266666667,801.73,450,43.3,129.7,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,28,9161.474096,0.5617,372.29,2.741666667,758.83,450,42.6,129.5,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,20,17428.125,0.32,481.04,2.7,830.23,450,43.5,126.7,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,21,8711.931207,0.5582,389.48,4.2,880.12,450,43.5,126.7,Luo 1996
Temperate typical deciduous broadleaved forest,Jilin,48,60805.33333,0.1875,524.81,3.341666667,844.07,460,42.9,126.7,Luo 1996
Temperate typical deciduous broadleaved forest,Liaoning,51,214307.1786,0.0599,603.94,4.591666667,864.83,350,41.7,125,Luo 1996
Temperate typical deciduous broadleaved forest,Liaoning,24,10437.10692,0.636,677.23,7.1,905.84,400,40.7,124.7,Luo 1996
Temperate typical deciduous broadleaved forest,Liaoning,26,43521.73913,0.138,297.8,7.6,1012.45,350,42,121.7,Luo 1996
Temperate typical deciduous broadleaved forest,Mongolia,97,99068.44106,0.0526,309.16,-2.333333333,681.3,498,50.4,124,Luo 1996
Temperate typical deciduous broadleaved forest,Ningxia,32,35165,0.2,328.12,4.65,830.05,2050,35.6,106.27,Luo 1996
Temperate typical deciduous broadleaved forest,Shandong,20,101588.785,0.0428,438.02,11.95833333,1119.55,400,35.7,117.9,Luo 1996
Temperate typical deciduous broadleaved forest,Shandong,23,38089.34708,0.1455,365.95,13.325,1230.42,700,36.4,117.2,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,39,108602.7397,0.073,340.9,11.69166667,1033.46,1250,34.97,111.41,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,43,35631.69165,0.1401,340.9,11.69166667,1033.46,1100,34.98,111.42,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,53,49441.26074,0.1396,309.74,13.125,1072.67,936,35.03,111.55,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,24,23474.57627,0.1534,305.13,13.05833333,1079.67,830,35.13,111.66,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,61,89802.55517,0.0861,341.38,11.26666667,1030.42,1100,35.15,111.57,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,30,52377.77778,0.09,341.38,11.26666667,1030.42,1050,35.2,111.57,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,40441.47844,0.1948,300.34,13.40833333,1096.1,1490,35.23,112.32,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,46,88384.7981,0.0421,343.21,10.99166667,1039.62,1350,35.25,112.3,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,58,115552.6992,0.0389,317.45,12.28333333,1079.08,1500,35.27,112.45,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,21329.07348,0.1565,321.83,11.975,1065.11,800,35.3,111.79,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,76,96469.60866,0.1201,367.85,9.741666667,1009.26,1422,35.3,112.19,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,38039.21569,0.1275,346.32,10.8,1036.6,850,35.32,111.99,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,57,73040.54054,0.1184,340.34,11.025,1023.45,1180,35.33,111.44,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,17317.75701,0.214,346.32,10.8,1036.6,1200,35.35,111.99,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,65,71972.90432,0.1181,321.83,11.975,1065.11,1220,35.37,111.79,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,68,56078.125,0.192,308.86,12.55833333,1074.83,1380,35.38,111.68,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,68,121130.742,0.0566,346.32,10.8,1036.6,1675,35.4,112.01,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,58,71325.08834,0.1132,390.72,8.208333333,970.11,1500,35.45,111.79,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,49,46598.03044,0.1117,378.13,8.85,982.27,1214,35.47,112.08,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,114565.7568,0.0403,390.72,8.208333333,970.11,1300,35.48,111.84,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,44,14076.23318,0.223,333.55,10.73333333,1053.62,1280,35.52,113.16,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,37,94272.10884,0.0735,297.67,12.66666667,1117.12,1280,35.52,113.29,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,70,16774.00805,0.1739,390.72,8.208333333,970.11,1500,35.55,111.84,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,102409.7938,0.0776,333.78,10.8,1045.44,1250,35.63,112.15,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,41973.79913,0.1145,333.78,10.8,1045.44,1300,35.67,112.15,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,37,75488.21549,0.0594,326.29,10.68333333,1058.81,1385,35.67,113.52,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,62,34892.93362,0.1868,350.41,9.85,1015.38,1400,35.72,112.04,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,42,82096.77419,0.0496,314.8,11.44166667,1054.51,1500,35.82,110.98,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,38,32274.4881,0.1807,358.09,9.291666667,987.74,1247,35.97,110,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,76,69400.95847,0.1252,354.09,8.433333333,991.1,1440,36.1,110.96,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,70803.4188,0.117,354.09,8.433333333,991.1,1300,36.12,111.07,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,60,34967.20334,0.1677,357.36,8.333333333,982.88,1630,36.13,110.91,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,67,120665.3992,0.0526,354.09,8.433333333,991.1,1490,36.15,111.02,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,49,80916.80815,0.0589,354.09,8.433333333,991.1,1620,36.17,111.04,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,45408.02213,0.1446,331.24,9.391666667,1015.06,1510,36.27,110.64,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,137860.8247,0.0388,357.79,7.7,972.92,1410,36.27,110.96,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,51234.17722,0.0632,277.04,12.375,1094.95,1270,36.3,111.67,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,40,34252.49169,0.1505,310.6,10.29166667,1045.74,1400,36.33,111.29,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,37130.2999,0.1934,299.62,10.98333333,1067.04,1450,36.37,111.87,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,41,56988.3351,0.0943,329.42,9.6,1016.94,1400,36.38,110.6,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,163029.1262,0.0515,323.58,9.066666667,1017.27,1900,36.42,111.29,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,76,105272.7273,0.066,345.16,7.975,990.6,1281,36.42,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,71,260261.6279,0.0344,345.16,7.975,990.6,1015,36.45,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,80341.0341,0.0909,345.16,7.975,990.6,1450,36.47,111.91,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,45,133685.446,0.0426,345.16,7.975,990.6,1633,36.48,111.85,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,53000,0.102,345.16,7.975,990.6,1350,36.48,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,26862.45353,0.1345,345.16,7.975,990.6,1500,36.52,111.92,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,60,20406.80024,0.1647,327.18,9,1026.67,1380,36.52,112,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,46744.06048,0.1852,345.16,7.975,990.6,1400,36.55,111.92,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,32309.19765,0.1533,327.18,9,1026.67,1490,36.55,111.96,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,43,65888.88889,0.072,345.16,7.975,990.6,1460,36.57,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,58,47393.0405,0.1753,344.92,7.375,978.74,1580,36.6,111.22,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,66,36141.50943,0.212,338.08,7.933333333,992.65,1450,36.6,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,54,79618.52861,0.1101,357.23,7.008333333,971.47,1630,36.62,112.01,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,24041.93077,0.2051,314.01,9.75,1057.65,1670,36.63,113.33,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,73,154473.2577,0.0617,338.08,7.933333333,992.65,1930,36.65,111.92,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,34,39891.89189,0.148,344.92,7.375,978.74,1650,36.67,111.27,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,68425.25979,0.1251,338.08,7.933333333,992.65,1650,36.67,111.94,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,38,45773.05906,0.1507,357.23,7.008333333,971.47,1770,36.67,112.07,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,61,109808.2596,0.0678,357.23,7.008333333,971.47,1760,36.67,112.07,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,65912.89782,0.1194,357.23,7.008333333,971.47,1700,36.68,112.1,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,39,70280.63611,0.1069,314.01,9.75,1057.65,1630,36.68,113.3,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,33,73391.9598,0.0796,331.82,8.808333333,1030.32,1740,36.7,113.28,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,54,159591.1414,0.0587,344.92,7.375,978.74,1630,36.7,111.18,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,37,30326.74119,0.1163,322.9,8.666666667,1014.57,1290,36.73,111.29,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,66,149372.093,0.043,357.23,7.008333333,971.47,1761,36.73,112.1,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,61,84382.35294,0.102,388.58,5.008333333,914.41,1699,36.75,111.99,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,81,129090.9091,0.0605,292.39,10,1052.26,1579,36.75,112.48,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,92622.95082,0.0732,338.09,7.283333333,984.49,1650,36.77,111.2,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,48,40020.43945,0.1957,388.58,5.008333333,914.41,2011,36.77,111.96,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,53,71731.70732,0.082,388.58,5.008333333,914.41,1811,36.77,112.05,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,53,46634.92063,0.189,336.46,7.775,1002.14,1608,36.77,112.14,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,54,61549.8155,0.1355,336.46,7.775,1002.14,1605,36.78,112.17,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,45,262063.4921,0.0315,338.09,7.283333333,984.49,1550,36.8,111.2,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,58,99699.15764,0.0831,349.64,6.908333333,964.79,1703,36.8,111.92,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,35,95355.80524,0.0534,320.37,9.158333333,1046.74,1640,36.82,113.33,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,85230.76923,0.078,338.09,7.283333333,984.49,1470,36.83,111.2,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,30,95625,0.0496,308.78,9.816666667,1065.88,1540,36.85,113.35,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,21,18824.40476,0.2016,315.03,8.691666667,1011.51,1200,36.87,110.71,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,57487.00173,0.1154,332.6,7.583333333,987.9,1640,36.9,111.11,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,60,39629.93421,0.1216,388.58,5.008333333,914.41,1750,36.9,111.99,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,55,85376,0.0625,363.25,5.875,940.23,2150,36.97,112.08,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,59,107931.0345,0.087,336.53,6.783333333,971.5,1555,37.03,111.11,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,46,62280.20014,0.1399,336.53,6.783333333,971.5,1690,37.05,111.11,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,74,50926.10837,0.1015,301.9,8.966666667,1031.55,1150,37.05,111.29,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,60,142627.6276,0.0666,321.57,8.8,1040.42,1556,37.05,113.5,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,61,79328.7037,0.0864,301.9,8.966666667,1031.55,1430,37.07,111.31,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,76,81766.9532,0.1047,332.67,6.491666667,968.79,1820,37.12,111.11,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,59,36160.11861,0.1349,341.48,6.058333333,959.69,1750,37.12,111.2,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,53383.94794,0.0922,309.91,8.025,1013.75,1340,37.12,111.38,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,43,125901.3605,0.0588,309.91,8.025,1013.75,1482,37.2,111.38,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,56,29918.69919,0.123,321.51,6.85,988.85,1520,37.3,111.38,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,65,71487.02595,0.1002,321.51,6.85,988.85,1780,37.37,111.38,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,69,190481.9277,0.0166,321.51,6.85,988.85,1840,37.4,111.34,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,35,36851.705,0.1261,262.43,10.41666667,1078.39,1500,37.43,113.35,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,33389.24519,0.2027,313.92,6.975,993.44,1690,37.47,111.72,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,41,35294.11765,0.1683,313.92,6.975,993.44,1620,37.47,111.75,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,48,33515.19337,0.1448,325.29,6.125,970.69,1712,37.48,111.43,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,57,34518.48249,0.2056,288.49,8.525,1031.97,1620,37.48,111.79,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,52,58312.57078,0.0883,288.49,8.525,1031.97,1490,37.48,111.84,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,45,34001.39179,0.1437,288.49,8.525,1031.97,1550,37.48,111.9,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,41,40547.8332,0.1223,351.49,6.125,965.45,1575,37.5,113.35,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,54125.95005,0.0921,288.49,8.525,1031.97,1484,37.52,111.79,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,43,34907.40741,0.108,288.49,8.525,1031.97,1420,37.52,111.88,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,46,75117.15089,0.1067,313.92,6.975,993.44,1670,37.57,111.68,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,47,87895.59543,0.0613,313.92,6.975,993.44,1452,37.58,111.7,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,64,45712.21981,0.1383,297.6,7.558333333,1012.23,1650,37.63,111.88,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,48,86849.55752,0.0565,343.41,4.733333333,938.48,1810,37.67,111.45,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,71,92483.51648,0.0455,297.6,7.558333333,1012.23,1500,37.67,111.88,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,88,123422.5352,0.071,343.41,4.733333333,938.48,1022,37.7,111.48,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,62,52970.82228,0.1131,297.6,7.558333333,1012.23,1691,37.7,111.84,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,47,49060.35665,0.1458,318.57,5.833333333,972.52,1630,37.77,111.66,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,61,78549.05194,0.1213,318.57,5.833333333,972.52,2020,37.77,111.75,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,51,49391.89189,0.1776,321.22,5.75,965.23,1900,37.77,111.84,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,47,36762.24085,0.2267,321.22,5.75,965.23,1880,37.78,111.91,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,58,37452.28216,0.1205,333.38,4.741666667,941.25,1621,37.9,111.32,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,80944.76744,0.0688,339.78,4.05,924.89,2120,38.07,111.48,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,30,46823.97959,0.0784,285.71,7,1002.54,1630,38.1,112.3,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,47,28579.68223,0.2077,285.71,7,1002.54,1410,38.12,112.41,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,37,127114.7541,0.061,312.58,5.275,968.36,1710,38.18,111.32,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,36,27255.08755,0.2113,312.58,5.275,968.36,1990,38.2,111.34,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,48,25958.02302,0.1477,313.1,3.891666667,935.3,2117,38.8,112.06,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,63,164641.791,0.067,283.96,8.591666667,1037.77,1785,37.5,111.1,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,55,103047.3856,0.1224,327.45,9.091666667,1030.08,1810,36.5,112.3,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,50,42962.36559,0.186,357.23,7.008333333,971.47,1400,36.7,112,Luo 1996
Temperate typical deciduous broadleaved forest,Shanxi,45,108156.7797,0.0472,357.23,7.008333333,971.47,1400,36.7,112,Luo 1996
Temperate typical deciduous broadleaved forest,Sichuan,80,138773.3333,0.075,467.21,8.216666667,879.78,2160,33.2,104.2,Luo 1996
Temperate typical deciduous broadleaved forest,Sichuan,120,177829.0366,0.0737,515.02,1.741666667,805.35,2600,32.6,103,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Beijing,31,15247.86325,0.234,282.62,7.408333333,1018.18,1500,39.8,115.6,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Beijing,58,59776.74419,0.1075,261.48,12.85,1124.58,1492,39.97,115.43,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Guizhou,27,84329.07348,0.0626,753.86,15.85,923.34,680,27.78,107.85,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Guizhou,25,98166.03774,0.1325,816.77,13.80833333,934.3,1800,26.7,105.9,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Guizhou,36,208273.4807,0.0724,809.3,17.26666667,984.64,748,25.75,108.09,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,31,40369.81509,0.2001,342.95,8.691666667,1089.06,1170,40.9,117.9,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,50,81333.33333,0.1035,272.24,5.416666667,993.87,1600,40.9,115.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,40,29700.98039,0.204,307.66,4.675,980.23,1300,41.2,116.3,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,42,107988.3041,0.0855,371.61,8.575,1078.13,1400,40.6,118.4,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,33,41333.33333,0.156,292.33,4.691666667,979.4,1260,41.6,117.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,37,64775.95628,0.0915,292.98,3.708333333,944.18,1600,41.9,117.6,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Hebei,30,28113.82114,0.246,272.02,4.041666667,957.55,1600,42,117.3,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,78,235888.0309,0.0518,335.11,2.516666667,758.79,350,45.7,130.5,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,66,192580.6452,0.0527,330.81,3.425,795.3,450,44.7,129.7,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,89,274267.9901,0.0403,433.06,0.091666667,739.66,400,44.3,128.4,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,36,30150.47022,0.1595,297.99,-1.608333333,649.05,261,51.7,126.6,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,79,89061.83369,0.0938,297.99,-1.608333333,649.05,507,51.7,126.6,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,44,127436.6472,0.1026,315.62,-4.316666667,605.55,400,52,124.7,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,61,191660.8997,0.0578,384.42,2.733333333,725.68,226,46.3,133.5,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,53,175754.4757,0.0782,323.59,3.358333333,781.06,880,46.3,130.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,77,368750,0.0184,338.19,2.683333333,763.28,800,44.5,130.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,49,124562.5,0.08,371.61,2.083333333,764.79,650,43.8,129.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,81,434055.1181,0.0254,406.54,2.441666667,713.19,170,46.8,134,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,26,68710.9905,0.1474,411.15,2.433333333,806.01,450,45,128.2,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,32,67869.01271,0.2046,411.35,2.333333333,818.55,455,45.32,127.55,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,45,130120,0.05,303.18,-3.875,605.85,500,52.5,124.5,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,44,150879.6296,0.0864,406.65,3.383333333,844.35,533,44.9,127.6,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,63,158249.6413,0.0697,373.83,-0.033333333,708,700,49.5,128.4,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,68,288560.6061,0.0396,415.57,-0.108333333,731.23,600,47,129,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Heilongjiang,66,249680.5897,0.0407,328.98,2.741666667,734.78,400,46.5,131.8,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,35,27455.26839,0.3018,405.97,3.225,806.67,600,42.75,128.27,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,58,62173.65623,0.1693,453.07,1.308333333,760.47,590,42.4,128.1,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,83,199060.7735,0.0724,572.1,4.333333333,846.29,845,41.8,126.9,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,40,13495.3405,0.6975,418.34,2.758333333,801.89,817,43.5,128.1,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,41,43098.10127,0.316,412.13,1.475,739.38,650,42.4,128.8,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,30,63330.09709,0.103,598.34,3.216666667,824.12,550,41.9,126.4,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,30,87531.03448,0.145,549.93,4.275,864.69,600,42.2,125.7,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,78,236156.1562,0.0666,410.1,3.625,858.56,550,44.4,126.9,Luo 1996
Temperate/subtropical montane Populus-Betula deciduous forest,Jilin,27,37090.28961,0.2935,435.57,3.016666667,835.41,590,44,127.2,Luo 1996
