site,family,genus,species,height,biomass
Road,Poaceae,Festuca,arizonica,6.6,0.016
Road,Poaceae,Festuca,arizonica,11,0.029
Road,Poaceae,Festuca,arizonica,10.9,0.039
Road,Poaceae,Festuca,arizonica,8.5,0.025
Road,Poaceae,Festuca,arizonica,8.3,0.067
Road,Poaceae,Festuca,arizonica,6.1,0.014
Road,Poaceae,Festuca,arizonica,13.5,0.022
Road,Poaceae,Festuca,arizonica,11.2,0.01
Road,Poaceae,Festuca,arizonica,5.5,0.035
Road,Poaceae,Festuca,arizonica,13.8,0.08
Road,Poaceae,Festuca,arizonica,30.4,0.107
Road,Poaceae,Festuca,arizonica,9,0.033
Road,Poaceae,Festuca,arizonica,5.2,0.047
Road,Poaceae,Festuca,arizonica,11,0.04
Road,Poaceae,Festuca,arizonica,6.6,0.038
Road,Poaceae,Festuca,arizonica,6.9,0.054
Road,Poaceae,Festuca,arizonica,12.9,0.046
Road,Poaceae,Festuca,arizonica,12.4,0.136
Road,Poaceae,Festuca,arizonica,16.3,0.094
Road,Poaceae,Festuca,arizonica,6.5,0.055
Road,Poaceae,Festuca,arizonica,14,0.153
Road,Poaceae,Festuca,arizonica,7.1,0.061
Road,Poaceae,Festuca,arizonica,8.4,0.057
Road,Poaceae,Festuca,arizonica,9.9,0.026
Road,Poaceae,Festuca,arizonica,9.1,0.091
Road,Poaceae,Festuca,arizonica,11.7,0.007
Road,Poaceae,Festuca,arizonica,7.5,0.031
Road,Poaceae,Festuca,arizonica,12.9,0.057
Road,Poaceae,Festuca,arizonica,10.5,0.037
Road,Poaceae,Festuca,arizonica,9.5,0.029
Road,Poaceae,Festuca,arizonica,13.5,0.033
Road,Poaceae,Festuca,arizonica,6.2,0.027
Road,Poaceae,Festuca,arizonica,16.6,0.066
Road,Poaceae,Festuca,arizonica,11.5,0.066
Road,Poaceae,Festuca,arizonica,13,0.087
Road,Poaceae,Festuca,arizonica,13.8,0.142
Road,Poaceae,Festuca,arizonica,19,0.097
Road,Poaceae,Festuca,arizonica,17.6,0.107
Road,Poaceae,Festuca,arizonica,15.3,0.025
Road,Poaceae,Festuca,arizonica,10.9,0.27
Road,Poaceae,Festuca,arizonica,15,0.186
Road,Poaceae,Festuca,arizonica,8.5,0.098
Road,Poaceae,Festuca,arizonica,8,0.04
Road,Poaceae,Festuca,arizonica,9.5,0.05
Road,Poaceae,Festuca,arizonica,6.9,0.03
Road,Poaceae,Festuca,arizonica,11.9,0.073
Road,Poaceae,Festuca,arizonica,12,0.089
Road,Poaceae,Festuca,arizonica,8.6,0.044
Road,Poaceae,Festuca,arizonica,13.1,0.226
Road,Poaceae,Festuca,arizonica,7,0.017
Road,Poaceae,Festuca,arizonica,8.9,0.183
Road,Poaceae,Festuca,arizonica,16,0.162
Road,Poaceae,Festuca,arizonica,1.5,0.013
Road,Poaceae,Festuca,arizonica,20.2,0.13
Road,Poaceae,Festuca,arizonica,10.2,0.138
Road,Poaceae,Festuca,arizonica,28.9,0.293
Road,Poaceae,Festuca,arizonica,19,0.06
Road,Poaceae,Festuca,arizonica,29.2,0.245
Road,Poaceae,Festuca,arizonica,8.2,0.037
Road,Poaceae,Festuca,arizonica,10.1,0.088
Road,Poaceae,Festuca,arizonica,15.1,0.188
Road,Poaceae,Festuca,arizonica,9,0.104
Road,Poaceae,Festuca,arizonica,12.9,0.211
Road,Poaceae,Festuca,arizonica,12.2,0.148
Road,Poaceae,Festuca,arizonica,14,0.072
Road,Poaceae,Festuca,arizonica,15.9,0.181
Road,Poaceae,Festuca,arizonica,9.2,0.172
Road,Poaceae,Festuca,arizonica,11.6,0.03
Road,Poaceae,Festuca,arizonica,12.2,0.137
Road,Poaceae,Festuca,arizonica,16.5,0.098
Road,Poaceae,Festuca,arizonica,14.7,0.288
Road,Poaceae,Festuca,arizonica,5.8,0.393
Road,Poaceae,Festuca,arizonica,11,0.165
Road,Poaceae,Festuca,arizonica,16.8,0.412
Road,Poaceae,Festuca,arizonica,8.7,0.097
Road,Poaceae,Festuca,arizonica,7.3,0.017
Road,Poaceae,Festuca,arizonica,14.9,0.289
Road,Poaceae,Festuca,arizonica,9.4,0.04
Road,Poaceae,Festuca,arizonica,24.7,0.106
Road,Poaceae,Festuca,arizonica,7.1,0.045
Road,Poaceae,Festuca,arizonica,12,0.045
Road,Poaceae,Festuca,arizonica,9,0.146
Road,Poaceae,Festuca,arizonica,11.2,0.283
Road,Poaceae,Festuca,arizonica,20.2,0.08
Road,Poaceae,Festuca,arizonica,8.7,0.058
Road,Poaceae,Festuca,arizonica,5.3,0.034
Road,Poaceae,Festuca,arizonica,4.6,0.026
Road,Poaceae,Festuca,arizonica,14.1,0.026
Road,Poaceae,Festuca,arizonica,9.5,0.089
Road,Poaceae,Festuca,arizonica,15.5,0.046
Road,Poaceae,Festuca,arizonica,13.8,0.052
Road,Poaceae,Festuca,arizonica,10.6,0.059
Road,Poaceae,Festuca,arizonica,10.1,0.142
Road,Poaceae,Festuca,arizonica,23.3,0.257
Road,Poaceae,Festuca,arizonica,32.2,0.301
Road,Poaceae,Festuca,arizonica,9.5,0.013
Road,Poaceae,Festuca,arizonica,31,0.231
Road,Poaceae,Festuca,arizonica,32.4,0.255
Road,Poaceae,Festuca,arizonica,33.1,0.218
Road,Poaceae,Festuca,arizonica,24.4,0.126
Road,Poaceae,Festuca,arizonica,11.8,0.205
Road,Poaceae,Festuca,arizonica,8.8,0.036
Road,Poaceae,Festuca,arizonica,24.9,0.086
Road,Poaceae,Festuca,arizonica,31.5,0.166
Road,Poaceae,Festuca,arizonica,20.4,0.117
Road,Poaceae,Festuca,arizonica,31,0.118
Road,Poaceae,Festuca,arizonica,12.6,0.073
Road,Poaceae,Festuca,arizonica,13.7,0.027
Road,Poaceae,Festuca,arizonica,34.1,0.162
Road,Poaceae,Festuca,arizonica,7.7,0.053
Road,Poaceae,Festuca,arizonica,13.8,0.104
Road,Poaceae,Festuca,arizonica,15,0.027
Road,Poaceae,Festuca,arizonica,8.9,0.02
Road,Poaceae,Festuca,arizonica,8.5,0.065
Road,Poaceae,Festuca,arizonica,9.6,0.044
Road,Poaceae,Festuca,arizonica,10.3,0.061
Road,Poaceae,Festuca,arizonica,10.2,0.082
Road,Poaceae,Festuca,arizonica,10.4,0.023
Road,Poaceae,Festuca,arizonica,17.9,0.075
Road,Poaceae,Festuca,arizonica,12.6,0.078
Road,Poaceae,Festuca,arizonica,14.3,0.155
Road,Poaceae,Festuca,arizonica,11.2,0.058
Road,Poaceae,Festuca,arizonica,11.7,0.016
Road,Poaceae,Festuca,arizonica,10.1,0.031
Road,Poaceae,Festuca,arizonica,7.8,0.094
Road,Poaceae,Festuca,arizonica,9,0.009
Road,Poaceae,Festuca,arizonica,8.9,0.029
Road,Poaceae,Festuca,arizonica,9,0.044
Road,Poaceae,Festuca,arizonica,11.8,0.056
Road,Poaceae,Festuca,arizonica,11.8,0.071
Road,Poaceae,Festuca,arizonica,11.9,0.048
Road,Poaceae,Festuca,arizonica,8,0.043
Road,Poaceae,Festuca,arizonica,12.8,0.087
Road,Poaceae,Festuca,arizonica,11,0.073
Road,Poaceae,Festuca,arizonica,10.8,0.07
Road,Poaceae,Festuca,arizonica,10,0.019
Road,Poaceae,Festuca,arizonica,10.4,0.09
Road,Poaceae,Festuca,arizonica,14.4,0.1
Road,Poaceae,Festuca,arizonica,8.8,0.044
Road,Poaceae,Festuca,arizonica,29.7,0.107
