Species,Code,DBH,Biomass
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.4,1.125656027
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.5,1.243257436
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.6,1.367803214
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.7,1.499412652
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.8,1.638202469
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,2.9,1.784286965
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3,1.93777815
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.1,2.098785869
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.2,2.267417914
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.3,2.443780127
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.4,2.627976493
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
Acer saccharum,ACSA,3.5,2.820109229
