MorphoName,SpeciesCode,mass.g
Purple Disc,morph14,0.8083
Purple Disc,morph14,0.6522
Purple Disc,morph14,1.6
Purple Disc,morph14,2.3
Purple Disc,morph14,1.2
Red Tassel Grass,morph15,1.8
Red Tassel Grass,morph15,3.6
Red Tassel Grass,morph15,0.5902
Red Tassel Grass,morph15,4.9
Red Tassel Grass,morph15,2.7
Red Tassel Grass,morph15,4
Red Tassel Grass,morph15,0.9511
Red Tassel Grass,morph15,3.4
Red Tassel Grass,morph15,1.4
Red Tassel Grass,morph15,4.4
Red Tassel Grass,morph15,2.6
Red Tassel Grass,morph15,4.8
Red Tassel Grass,morph15,1.9
Red Tassel Grass,morph15,2.6
Red Tassel Grass,morph15,3.2
Red Tassel Grass,morph15,1.4
Red Tassel Grass,morph15,3
Red Tassel Grass,morph15,1.4
Red Tassel Grass,morph15,4
Red Tassel Grass,morph15,4.8
Red Tassel Grass,morph15,3
Red Tassel Grass,morph15,5.6
Red Tassel Grass,morph15,6.1
Red Tassel Grass,morph15,5.4
Red Tassel Grass,morph15,6.3
Red Tassel Grass,morph15,1.8
Red Tassel Grass,morph15,0.6
Red Tassel Grass,morph15,0.9
Spade Leaf,morph16,0.0514
Spade Leaf,morph16,0.0219
Spade Leaf,morph16,0.0645
Spade Leaf,morph16,0.0383
Spade Leaf,morph16,0.0751
Spade Leaf,morph16,0.023
Spade Leaf,morph16,0.0283
Spade Leaf,morph16,0.0836
Spade Leaf,morph16,0.0317
Spade Leaf,morph16,0.0782
Unknown,morph17,0.0458
Unknown,morph17,0.0275
Unknown,morph17,0.0193
Unknown,morph17,0.0285
Unknown,morph17,0.0326
Unknown,morph17,0.3069
Unknown,morph17,0.0343
Unknown,morph17,0.0297
Unknown,morph17,0.0127
Unknown,morph17,0.774
Unknown,morph17,0.0285
Unknown,morph17,0.2151
Unknown,morph17,0.1004
Unknown,morph17,0.0113
Unknown,morph17,0.0531
Unknown,morph17,0.2348
Unknown,morph17,0.0253
Unknown,morph17,0.0136
Unknown,morph17,0.0092
Unknown,morph17,0.5398
Unknown,morph17,0.3829
Unknown,morph17,0.0485
Unknown,morph17,0.0093
Unknown,morph17,0.0165
Unknown,morph17,0.1211
Unknown,morph17,0.0994
Unknown,morph17,0.0169
Unknown,morph17,0.0341
Unknown,morph17,0.0206
Unknown,morph17,0.0183
Unknown,morph17,0.2575
Unknown,morph17,0.5305
Unknown,morph17,0.0195
Unknown,morph17,0.0741
Unknown,morph17,0.2174
Unknown,morph17,0.1452
Unknown,morph17,0.2531
Unknown,morph17,0.0249
Unknown,morph17,0.0357
Unknown,morph17,0.013
Unknown,morph17,0.0226
Unknown,morph17,0.0807
Unknown,morph17,0.2146
Unknown,morph17,0.1803
Unknown,morph17,0.0116
Unknown,morph17,0.2183
Unknown,morph17,0.2255
Unknown,morph17,0.053
Unknown,morph17,0.0312
Unknown,morph17,0.1039
Unknown,morph17,0.0356
Unknown,morph17,0.0161
Unknown,morph17,0.0218
Unknown,morph17,0.0155
Unknown,morph17,0.0106
Unknown,morph17,0.0312
Unknown,morph17,0.0497
Unknown,morph17,0.0095
Unknown,morph17,0.0766
Unknown,morph17,0.102
Unknown,morph17,0.0285
Unknown,morph17,0.0088
Unknown,morph17,0.0187
Unknown,morph17,0.0123
Unknown,morph17,0.0108
Unknown,morph17,0.0351
Unknown,morph17,0.0542
Unknown,morph17,0.0175
Unknown,morph17,0.0148
Unknown,morph17,0.0792
Unknown,morph17,0.0164
Wingstem,morph17,16.7
Woody Serrated Leaf,morph18,0.2983
Woody Serrated Leaf,morph18,0.6105
Woody Serrated Leaf,morph18,3
