MorphoName,SpeciesCode,mass.g
solc,morph1,0.563
solc,morph1,0.489
solc,morph1,0.107
solc,morph1,0.123
solc,morph1,0.226
solc,morph1,2.471
solc,morph1,3.395
solc,morph1,0.099
solc,morph1,0.143
solc,morph1,0.109
solc,morph1,0.194
solc,morph1,1.846
solc,morph1,0.072
solc,morph1,0.173
solc,morph1,0.153
solc,morph1,0.2
solc,morph1,0.819
solc,morph1,4.016
solc,morph1,0.476
solc,morph1,0.078
solc,morph1,0.647
solc,morph1,1.065
solc,morph1,3.614
solc,morph1,4.24
solc,morph1,5.839
solc,morph1,2.649
solc,morph1,11.002
solc,morph1,3.49
solc,morph1,5.326
solc,morph1,4.002
solc,morph1,0.47
solc,morph1,1.376
solc,morph1,2.254
solc,morph1,0.17
solc,morph1,4.187
solc,morph1,1.12
solc,morph1,2.403
solc,morph1,0.561
solc,morph1,2.057
solc,morph1,5.899
solc,morph1,2.13
solc,morph1,3.704
solc,morph1,1.734
solc,morph1,0.347
solc,morph1,0.341
solc,morph1,15.7
solc,morph1,13.6
solc,morph1,3.873
solc,morph1,0.417
solc,morph1,2.443
solc,morph1,6.9
solc,morph1,0.458
solc,morph1,0.565
solc,morph1,6.016
solc,morph1,3.317
solc,morph1,2.855
solc,morph1,1.518
solc,morph1,3.297
solc,morph1,1.172
solc,morph1,1.487
solc,morph1,4.212
solc,morph1,0.773
solc,morph1,4.682
solc,morph1,6.082
solc,morph1,4.151
solc,morph1,1.788
solc,morph1,1.543
solc,morph1,0.782
solc,morph1,0.111
solc,morph1,2.576
solc,morph1,1.781
solc,morph1,0.175
solc,morph1,3.73
solc,morph1,3.366
solc,morph1,3.361
solc,morph1,0.744
solc,morph1,0.291
solc,morph1,2.002
solc,morph1,0.309
solc,morph1,2.359
solc,morph1,6.78
solc,morph1,4.446
solc,morph1,10.13
solc,morph1,5.706
solc,morph1,2.051
solc,morph1,8.189
solc,morph1,0.691
solc,morph1,2.345
solc,morph1,1.043
solc,morph1,0.044
solc,morph1,0.998
solc,morph1,0.17
solc,morph1,1.943
solc,morph1,0.138
solc,morph1,2.987
solc,morph1,0.026
solc,morph1,3.473
solc,morph1,0.049
solc,morph1,4.681
solc,morph1,0.228
solc,morph1,0.312
solc,morph1,2.358
solc,morph1,0.73
solc,morph1,6.389
solc,morph1,1.494
solc,morph1,0.509
solc,morph1,10.777
solc,morph1,0.06
solc,morph1,3.595
solc,morph1,6.83
solc,morph1,5.609
solc,morph1,4.966
solc,morph1,2.205
solc,morph1,6.033
solc,morph1,3.111
solc,morph1,13.801
solc,morph1,2.696
solc,morph1,3.91
solc,morph1,2.498
solc,morph1,2.801
solc,morph1,1.208
solc,morph1,3.414
solc,morph1,1.8
solc,morph1,4.311
solc,morph1,0.251
solc,morph1,0.49
solc,morph1,6.071
solc,morph1,1.912
solc,morph1,0.052
solc,morph1,0.165
solc,morph1,0.077
solc,morph1,7.007
solc,morph1,0.189
solc,morph1,2.516
solc,morph1,3.796
solc,morph1,4.959
solc,morph1,4.987
solc,morph1,1.002
solc,morph1,0.6
solc,morph1,2.154
solc,morph1,8.607
solc,morph1,1.546
solc,morph1,6.775
solc,morph1,2.839
solc,morph1,2.373
solc,morph1,3.253
solc,morph1,0.518
solc,morph1,0.399
solc,morph1,4.869
solc,morph1,1.203
solc,morph1,5.213
solc,morph1,7.711
solc,morph1,0.891
solc,morph1,0.285
solc,morph1,1.989
solc,morph1,9.294
solc,morph1,2.576
solc,morph1,6.615
solc,morph1,4.743
solc,morph1,0.687
solc,morph1,6.883
solc,morph1,4.442
solc,morph1,1.385
solc,morph1,1.138
solc,morph1,5.256
solc,morph1,3.08
solc,morph1,0.773
solc,morph1,4.053
solc,morph1,8.931
solc,morph1,3.227
solc,morph1,2.725
solc,morph1,8.646
solc,morph1,1.909
solc,morph1,3.815
solc,morph1,2.943
solc,morph1,2.873
solc,morph1,1.515
solc,morph1,2.351
solc,morph1,2.018
solc,morph1,1.585
solc,morph1,4.729
solc,morph1,4.349
solc,morph1,4.163
solc,morph1,7.109
solc,morph1,9.515
solc,morph1,4.687
solc,morph1,4.405
solc,morph1,10.674
solc,morph1,0.759
solc,morph1,1.63
solc,morph1,8.008
rtls,morph2,0.001
rtls,morph2,0.047
rtls,morph2,0.03
rtls,morph2,0.016
rtls,morph2,0.011
rtls,morph2,0.006
rtls,morph2,0.013
rtls,morph2,0.009
rtls,morph2,0.025
rtls,morph2,0.007
rtls,morph2,0.008
rtls,morph2,0.012
rtls,morph2,0.011
rtls,morph2,0.012
rtls,morph2,0.032
rtls,morph2,0.081
rtls,morph2,0.011
rtls,morph2,0.025
bbls,morph3,3.191
bbls,morph3,11.7
bbls,morph3,5.402
bbls,morph3,22.5
bbls,morph3,5.12
bbls,morph3,8.763
bbls,morph3,1.793
bbls,morph3,4.963
bbls,morph3,8.892
bbls,morph3,5.095
bbls,morph3,7.549
bbls,morph3,3.686
bbls,morph3,6.162
bbls,morph3,5.068
bbls,morph3,7.084
bbls,morph3,4.343
ltl,morph4,2.639
ltl,morph4,2.132
ltl,morph4,0.191
ltl,morph4,1.7
ltl,morph4,0.785
ltl,morph4,1.218
ltl,morph4,0.875
ltl,morph4,16.5
ltl,morph4,63.2
ltl,morph4,15.9
ltl,morph4,50.8
ltl,morph4,40.6
ltl,morph4,25.2
ltl,morph4,0.289
ltl,morph4,0.687
ltl,morph4,5.689
ltl,morph4,7.683
ltl,morph4,16.35
ltl,morph4,2.83
ltl,morph4,2.836
ltl,morph4,82.9
ltl,morph4,33.9
ltl,morph4,15.6
ltl,morph4,0.322
ltl,morph4,1.818
ltl,morph4,0.259
ltl,morph4,1.756
ltl,morph4,4.258
ltl,morph4,8.694
ltl,morph4,0.678
ltl,morph4,3.667
ltl,morph4,0.972
ltl,morph4,0.586
ltl,morph4,3.193
ltl,morph4,1.99
pw,morph5,0.375
pw,morph5,0.259
pw,morph5,0.713
pw,morph5,0.182
pw,morph5,0.298
pw,morph5,0.251
pw,morph5,0.177
pw,morph5,0.073
pw,morph5,0.123
pw,morph5,0.233
pw,morph5,0.473
pw,morph5,1.441
pw,morph5,0.322
pw,morph5,0.244
pw,morph5,0.326
pw,morph5,0.063
pw,morph5,0.037
pw,morph5,0.606
pw,morph5,0.499
pw,morph5,0.305
pw,morph5,0.128
pw,morph5,0.42
flf,morph6,0.038
flf,morph6,0.034
flf,morph6,0.03
flf,morph6,0.019
flf,morph6,0.034
flf,morph6,0.056
flf,morph6,0.008
flf,morph6,0.01
flf,morph6,0.051
flf,morph6,0.017
flf,morph6,0.08
flf,morph6,0.036
flf,morph6,0.009
flf,morph6,0.061
clover,morph7,0.014
clover,morph7,0.021
clover,morph7,0.009
clover,morph7,0.001
clover,morph7,0.022
w.s.,morph8,0.074
w.s.,morph8,0.054
white aster,morph9,0.351
white aster,morph9,0.086
hgg,morph10,0.211
hgg,morph10,0.312
hgg,morph10,0.206
hgg,morph10,0.382
hgg,morph10,0.265
tol,morph11,0.083
tol,morph11,0.057
rose,morph12,1.717
rose,morph12,0.122
rose,morph12,1.038
