Field Name,Weight
Red,0.0677
Fla,0.1169
Mint,0.0199
Tri,0.1947
Fla,0.1989
Hor,0.4553
Fox,0.3363
Fox,0.2927
Fox,0.2095
Fox,0.4698
Fla,0.2152
Fox,0.5036
Fox,0.1588
Fox,0.1776
Fla,0.07
Odi,0.051
Fox,0.3189
Red,0.0486
Fla,0.3198
Fox,0.3137
Fla,0.0906
Red,0.1109
Fla,0.3398
Dead,0.1659
Sti,0.0314
Hor,0.0661
Fla,0.115
Red,0.0198
Fox,0.0452
Fla,0.1742
Fla,0.0873
Fla,0.0308
Tin,0.0467
Hor,0.3058
Fla,0.0796
Fla,0.0602
Fox,0.2321
Fla,0.261
Fla,0.1708
Red,0.4792
Odi,0.1749
Hor,0.7074
Fla,0.0841
Fox,0.1111
Fox,0.5929
Fla,0.1144
Fla,0.0222
Odi,0.0113
Fox,0.1959
Osm,0.0375
osm,0.0881
Tri,0.0181
Hor,0.2908
Fox,0.1204
Fox,0.1509
Cla,0.5451
Odi,0.4771
Red,0.1342
Odi,0.6208
Odi,0.3672
Osm,0.02
Fox,0.2671
Red,0.0855
Fox,0.2364
Fox,0.7917
Fox,0.1643
Hor,0.1142
Fla,0.1338
Tri,0.411
Sti,0.3484
Hor,0.3989
Osm,0.2883
Hor,0.0698
Tin,0.0148
Fla,0.2867
Fla,0.0661
Fla,0.079
Fla,0.0202
Red,0.0724
Odi,0.0418
Fox,0.2199
Fla,0.0356
Red,0.0566
Odi,0.0758
Agr,0.0319
Tri,0.1046
Tri,0.0724
Fla,0.0779
Fla,0.095
Fox,0.1903
Fox,0.043
Red,0.1568
Tin,0.0489
Fox,0.0322
Fla,0.137
Dead,0.1224
Red,0.1563
Fox,0.3556
Odi,0.1258
Fla,0.0155
Red,0.0934
Tri,0.1166
Red,0.0715
Agr,0.0208
Odi,0.2669
Gold,0.1958
Fox,0.5929
Odi,0.5636
Fox,0.2822
Fox,0.5154
Fox,0.5464
Fox,0.4165
Red,0.1984
Fox,0.3693
Fox,0.2063
Odi,0.212
Fox,0.1566
Hor,0.5318
Hor,0.1096
Sti,0.581
Sti,0.0455
Fox,0.1725
Fox,0.5595
Fox,0.3834
Fox,0.3014
Hor,0.4479
Fox,0.2701
Odi,0.4463
Fox,0.7049
Fla,0.1515
Fox,0.12
Fox,0.3972
Odi,0.4515
Fox,0.2794
Fox,0.3274
Hor,0.6467
Hor,0.6695
Hor,0.1977
Fox,0.7091
Hor,0.1872
Hor,0.4766
Fox,0.1152
Fox,0.7658
Hor,0.5518
Fox,0.4692
Fox,0.053
Fox,0.7359
Fox,0.382
Odi,0.9998
Fox,0.8083
Arr,0.309
Fox,0.7953
Sti,1.3996
Sti,0.3805
Fox,0.7013
Fox,0.4305
Fox,0.5926
Fox,0.3698
Sti,0.4915
Hor,0.3826
Fox,0.4111
Sti,0.0871
Fox,0.496
Fox,0.1393
Fox,0.6731
Fox,0.7717
Fox,0.8363
Arr,0.0693
Sti,0.2818
Fox,0.4941
Fox,0.8154
Fox,0.7509
Tri,0.4319
Fox,0.4237
Fox,0.5733
Fox,0.5063
Odi,0.2176
Odi,0.1959
Fox,0.187
Fox,0.5602
Fox,0.3984
Fox,0.3204
Fox,0.1752
Fox,0.5963
Fox,0.6882
Odi,0.5885
Sti,1.0668
Fox,0.4318
Fox,0.5029
Fox,0.7945
Gold,0.2467
Red,0.1205
Sti,0.2994
Fox,0.3692
Odi,0.095
Fox,0.2881
Fox,0.4006
Fox,0.306
Odi,0.416
Fox,0.1572
Fox,0.4349
Fox,0.7168
Fox,0.8721
Fox,0.2745
Fox,0.9063
Bul,0.63
Odi,0.5549
Sti,0.658
Fox,0.6424
Fox,0.8224
Sti,0.3155
Fox,0.268
Fox,0.0626
Fox,0.1913
Sti,0.5443
odi,0.073
Hor,0.9287
Fox,0.4641
Fox,0.2452
Odi,0.2447
Odi,0.8912
Fox,0.7397
Odi,0.5665
Sti,0.4431
Sti,0.8155
Dead,0.336
Odi,0.2837
Sti,0.1888
Fox,0.2126
Hor,0.3195
Tri,0.4022
Red,0.3564
Fox,0.3488
Fox,0.2148
Red,0.3053
Odi,0.7043
Fox,0.7256
Dead,0.1697
Fox,0.8879
Fox,0.3281
hor,0.5265
Fox,0.2996
Hor,0.7549
Odi,0.6684
Fox,0.3655
Odi,0.382
St5i,0.5399
Fox,0.4826
Odi,0.4951
Fox,0.5198
Fox,0.3778
Fox,0.487
Fox,0.4223
Odi,0.5741
Fox,0.5459
Sti,0.3297
Sti,0.9099
Odi,0.1843
Fox,0.1458
Fox,0.9032
Odi,0.9032
Sti,0.1594
Odi,0.4862
Odi,0.1016
Fox,0.2743
Hor,0.3068
Odi,0.5521
Odi,0.0311
Hor,0.8658
Fox,0.2698
Fox,0.5158
Fox,0.3127
Sti,0.3919
Fox,0.7474
Fox,0.4061
Fox,0.3732
Fox,0.7328
Odi,0.8014
Red,0.187
Fox,0.4319
Fox,0.8792
Odi,1.0967
Odi,0.0664
Tri,0.3989
Fox,0.4648
Fox,0.1391
Red,0.2727
Fox,0.4996
Fox,0.193
Odi,0.3412
Fox,0.3815
Hor,0.4131
Fox,0.4783
Odi,0.6856
Fox,0.6574
Sti,0.3873
Odi,0.2694
Odi,0.1456
Fox,0.3788
Fla,0.4418
Sti,0.2571
Odi,0.1083
Odi,0.5693
Odi,0.1822
Fox,0.5463
Fox,0.3002
Odi,0.1589
Odi,0.1999
Dead,0.2478
Odi,0.5708
Fox,0.1404
Odi,0.137
Hor,0.3149
Odi,0.9029
Bul,0.8541
