Field Name,Weight,,,,
Odi,1.1939,253,,,
Odi,2.1625,254,,,
Bone,0.7643,255,,,
Mint,1.6357,256,,,
Hor,2.6552,257,,,
Bul,0.762,258,,,
Bul,1.5142,259,,,
Sti,1.3884,260,,,
Odi,2.8636,261,,,
Hor,1.1268,262,,,
Hor,0.9315,263,,,
Odi,0.6528,264,,,
Bul,1.1768,265,,,
Hor,0.9968,266,,,
Hor,1.2378,267,,,
Hor,1.0405,268,,,
Bone,1.6548,269,,,
Agr,1.3871,270,,,
Odi,1.0459,271,,,
Odi,1.2966,272,,,
Odi,1.0702,273,,,
Odi,0.517,274,,,
Odi,0.6593,275,,,
Odi,2.2934,276,,,
Sti,1.2671,277,,,
Fox,0.4395,278,,,
Sti,0.5118,279,,,
Blu,1.4564,280,,,
Odi,0.2301,281,,,
Hor,0.5889,282,,,
Fox,0.6593,283,,,
Sti,0.6885,284,,,
Fox,0.3948,285,,,
Sti,0.3733,286,,,
Fox,0.3891,287,,,
Fox,0.1711,288,,,
Sti,0.096,289,,,
Fox,0.236,290,,,
Sti,0.9627,291,,,
Odi,0.314,292,,,
Fox,0.6275,293,,,
Sti,0.4882,294,,,
Fox,0.6546,295,,,
Sti,0.9334,296,,,
Odi,0.357,297,,,
Fox,0.3071,298,,,
Fox,0.2934,299,,,
Tri,0.5809,300,,,
Sti,0.2049,301,,,
Fox,0.7032,302,,,
Hor,0.3221,303,,,
Fox,0.6493,304,,,
Odi,1.1513,305,,,
Fox,0.3847,306,,,
Odi,0.3466,307,,,
Fox,0.3318,308,,,
Fox,0.5618,309,,,
Odi,0.5225,310,,,
Sha,0.2544,311,,,
Mon,0.3324,312,,,
Hor,0.1314,313,,,
Sti,0.5938,314,,,
Fox,0.5439,315,,,
Odi,0.3097,316,,,
Fox,0.5923,317,,,
Hor,0.1499,318,,,
Fox,0.1557,319,,,
Odi,0.3786,320,,,
Hor,0.4588,321,,,
Tri,0.4752,322,,,
Fox,0.4607,323,,,
Fox,0.423,324,,,
Fox,0.3973,325,,,
Fox,0.2942,326,,,
Dead,0.325,327,,,
Hor,0.4035,328,,,
Red,0.1676,329,,,
Fox,0.5123,330,,,
Odi,0.7005,331,,,
Fox,0.5717,332,,,
Dead,0.2749,333,,,
Fox,0.2642,334,,,
Fox,0.1364,335,,,
Fox,0.2322,336,,,
Bul,0.6289,337,,,
Fla,0.2337,338,,,
Hor,0.089,339,,,
Odi,0.4755,340,,,
Odi,0.6135,341,,,
Fox,0.1586,342,,,
Dead,0.194,343,,,
Fox,0.4833,344,,,
Fox,0.3538,345,,,
Odi,0.718,346,,,
Odi,1.0089,347,,,
Odi,1.021,348,,,
Bul,0.9391,349,,,
Odi,0.7781,350,,,
Gold,2.5086,351,,,
Fox,0.7193,352,,,
Odi,1.4851,353,,,
Odi,1.5023,354,,,
Odi,1.1461,355,,,
Odi,2.5564,356,,,
Odi,0.506,357,,,
Red,0.0263,358,,,
Tri,0.0818,359,,,
Hor,0.0982,360,,,
Red,0.2603,361,,,
Fla,0.0348,362,,,
Fox,0.3241,363,,,
Tin,0.0205,364,,,
Fox,0.2858,365,,,
Tri,0.2009,366,,,
Red,0.0677,367,,,
Fla,0.1169,368,,,
Mint,0.0199,369,,,
Tri,0.1947,370,,,
Fla,0.1989,371,,,
Hor,0.4553,372,,,
Fox,0.3363,373,,,
Fox,0.2927,374,,,
Fox,0.2095,375,,,
Fox,0.4698,376,,,
Fla,0.2152,377,,,
Fox,0.5036,378,,,
Fox,0.1588,379,,,
Fox,0.1776,380,,,
Fla,0.07,381,,,
Odi,0.051,382,,,
Fox,0.3189,383,,,
Red,0.0486,384,,,
Fla,0.3198,385,,,
Fox,0.3137,386,,,
Fla,0.0906,387,,,
Red,0.1109,388,,,
Fla,0.3398,389,,,
Dead,0.1659,390,,,
Sti,0.0314,391,,,
Hor,0.0661,392,,,
Fla,0.115,393,,,
Red,0.0198,394,,,
Fox,0.0452,395,,,
Fla,0.1742,396,,,
Fla,0.0873,397,,,
Fla,0.0308,398,,,
Tin,0.0467,399,,,
Hor,0.3058,400,,,
Fla,0.0796,401,,,
Fla,0.0602,402,,,
Fox,0.2321,403,,,
Fla,0.261,404,,,
Fla,0.1708,405,,,
Red,0.4792,406,,,
Odi,0.1749,407,,,
Hor,0.7074,408,,,
Fla,0.0841,409,,,
Fox,0.1111,410,,,
Fox,0.5929,411,,,
Fla,0.1144,412,,,
Fla,0.0222,413,,,
Odi,0.0113,414,,,
Fox,0.1959,415,,,
Osm,0.0375,416,,,
osm,0.0881,417,,,
Tri,0.0181,418,,,
Hor,0.2908,419,,,
Fox,0.1204,420,,,
Fox,0.1509,421,,,
Cla,0.5451,422,,,
Odi,0.4771,423,,,
Red,0.1342,424,,,
Odi,0.6208,425,,,
Odi,0.3672,426,,,
Osm,0.02,427,,,
Fox,0.2671,428,,,
Red,0.0855,429,,,
Fox,0.2364,430,,,
Fox,0.7917,431,,,
Fox,0.1643,432,,,
Hor,0.1142,433,,,
Fla,0.1338,434,,,
Tri,0.411,435,,,
Sti,0.3484,436,,,
Hor,0.3989,437,,,
Osm,0.2883,438,,,
Hor,0.0698,439,,,
Tin,0.0148,440,,,
Fla,0.2867,441,,,
Fla,0.0661,442,,,
Fla,0.079,443,,,
Fla,0.0202,444,,,
Red,0.0724,445,,,
Odi,0.0418,446,,,
Fox,0.2199,447,,,
Fla,0.0356,448,,,
Red,0.0566,449,,,
Odi,0.0758,450,,,
Agr,0.0319,451,,,
Tri,0.1046,452,,,
Tri,0.0724,453,,,
Fla,0.0779,454,,,
Fla,0.095,455,,,
Fox,0.1903,456,,,
Fox,0.043,457,,,
Red,0.1568,458,,,
Tin,0.0489,459,,,
Fox,0.0322,460,,,
Fla,0.137,461,,,
Dead,0.1224,462,,,
Red,0.1563,463,,,
Fox,0.3556,464,,,
Odi,0.1258,465,,,
Fla,0.0155,466,,,
Red,0.0934,467,,,
Tri,0.1166,468,,,
Red,0.0715,469,,,
Agr,0.0208,470,,,
Odi,0.2669,471,,,
Gold,0.1958,472,,,
Fox,0.5929,473,,,
Odi,0.5636,474,,,
Fox,0.2822,475,,,
Fox,0.5154,476,,,
Fox,0.5464,477,,,
Fox,0.4165,478,,,
Red,0.1984,479,,,
Fox,0.3693,480,,,
Fox,0.2063,481,,,
Odi,0.212,482,,,
Fox,0.1566,483,,,
Hor,0.5318,484,,,
Hor,0.1096,485,,,
Sti,0.581,486,,,
Sti,0.0455,487,,,
Fox,0.1725,488,,,
Fox,0.5595,489,,,
Fox,0.3834,490,,,
Fox,0.3014,491,,,
Hor,0.4479,492,,,
Fox,0.2701,493,,,
Odi,0.4463,494,,,
Fox,0.7049,495,,,
Fla,0.1515,496,,,
Fox,0.12,497,,,
Fox,0.3972,498,,,
Odi,0.4515,499,,,
Fox,0.2794,500,,,
Fox,0.3274,501,,,
