Field Name,Weight,,,,
Fox,0.1408,1010,,,
Bul,1.8288,1011,,,
Odi,0.9044,1012,,,
Odi,0.7389,1013,,,
Odi,0.5943,1014,,,
Odi,1.3462,1015,,,
Odi,0.9409,1016,,,
Bul,1.2426,1017,,,
Bul,1.4299,1018,,,
Odi,0.943,1019,,,
Odi,0.9721,1020,,,
Odi,0.6809,1021,,,
Odi,0.7295,1022,,,
Odi,0.6338,1023,,,
Odi,1.033,1024,,,
Odi,1.0402,1025,,,
Odi,1.029,1026,,,
Odi,1.1373,1027,,,
Odi,1.476,1028,,,
Odi,1.0784,1029,,,
Bone,0.7207,1030,,,
Odi,1.5751,1031,,,
Odi,1.7388,1032,,,
Odi,1.1649,1033,,,
Odi,1.1953,1034,,,
Odi,0.7607,1035,,,
Bul,2.239,1036,,,
Bone,0.8967,1037,,,
Odi,1.786,1038,,,
Odi,1.3985,1039,,,
Odi,0.926,1040,,,
Odi,1.2485,1041,,,
Odi,1.1767,1042,,,
Odi,1.4164,1043,,,
Odi,1.7349,1044,,,
Odi,0.8042,1045,,,
Odi,2.1547,1046,,,
Odi,0.4912,1047,,,
Odi,0.6998,1048,,,
Odi,2.1376,1049,,,
Odi,0.5522,1050,,,
Odi,1.0196,1051,,,
Odi,1.5889,1052,,,
Odi,1.4415,1053,,,
Odi,2.215,1054,,,
Odi,1.4446,1055,,,
Odi,1.5691,1056,,,
Odi,1.2249,1057,,,
Odi,1.214,1058,,,
Odi,0.9664,1059,,,
Odi,1.4981,1060,,,
Odi,1.1264,1061,,,
Odi,1.9257,1062,,,
Dead,2.8477,1063,,,
Agr,0.9637,1064,,,
Odi,1.8779,1065,,,
Bul,1.9041,1066,,,
Odi,1.0022,1067,,,
Blu,2.4333,1068,,,
Bul,2.3072,1069,,,
Hor,0.8599,1070,,,
Odi,1.329,1071,,,
Odi,1.263,1072,,,
Odi,0.8265,1073,,,
Snap,1.6915,1074,,,
Snap,2.0502,1075,,,
Odi,2.0787,1076,,,
Hor,0.985,1077,,,
Odi,1.577,1078,,,
Odi,1.1622,1079,,,
Hor,0.6892,1080,,,
Odi,0.8098,1081,,,
Odi,1.033,1082,,,
Odi,1.202,1083,,,
Bul,1.3823,1084,,,
Odi,0.8071,1085,,,
Odi,1.1122,1086,,,
Odi,0.7485,1087,,,
Odi,1.8996,1088,,,
Fox,1.1294,1089,,,
Odi,1.9262,1090,,,
Odi,1.2419,1091,,,
Odi,1.069,1092,,,
Odi,0.9072,1093,,,
Bul,1.3819,1094,,,
Odi,1.5729,1095,,,
Odi,1.3432,1096,,,
Odi,0.9404,1097,,,
Agr,1.0922,1098,,,
Agr,6,1099,,,
Bone,7.7,1100,,,
Bone,6.6,1101,,,
Odi,1.3,1102,,,
Odi,2.8,1103,,,
Bone,2.6,1104,,,
Psa,32,1105,,,
Odi,2.7,1106,,,
Odi,4.4,1107,,,
Odi,1.4,1108,,,
Odi,2,1109,,,
Odi,2.1,1110,,,
Agr,5.7,1111,,,
Agr,6.7,1112,,,
Psa,9.3,1113,,,
Agr,8.5,1114,,,
Blu,2.6,1115,,,
Sti,0.1392,1116,,,
Fla,0.3002,1117,,,
Red,0.2454,1118,,,
Red,0.2205,1119,,,
Sti,0.1912,1120,,,
Cla,0.0384,1121,,,
Fla,0.0638,1122,,,
Fla,0.0885,1123,,,
Fox,0.3866,1124,,,
Fla,0.2088,1125,,,
Fla,0.2623,1126,,,
Fla,0.0686,1127,,,
Fox,0.109,1128,,,
Fox,0.1408,1129,,,
Red,0.0634,1130,,,
Fla,0.0432,1131,,,
Fla,0.1771,1132,,,
Fla,0.077,1133,,,
Odi,0.2386,1134,,,
Red,0.1526,1135,,,
Fox,0.1947,1136,,,
Fla,0.0113,1137,,,
Fla,0.1515,1138,,,
Fla,0.5326,1139,,,
Fla,0.0521,1140,,,
Fox,0.4916,1141,,,
Fox,0.2603,1142,,,
Fox,0.0818,1143,,,
Fla,0.0741,1144,,,
Gold,0.0709,1145,,,
Fla,0.0416,1146,,,
Fla,0.1257,1147,,,
Red,0.1155,1148,,,
Hor,0.7621,1149,,,
Hor,0.1016,1150,,,
Red,0.1644,1151,,,
Fox,0.0708,1152,,,
Fla,0.1338,1153,,,
Fox,0.5052,1154,,,
Red,0.0285,1155,,,
Fox,0.0485,1156,,,
Red,0.056,1157,,,
Sti,0.1052,1158,,,
Fla,0.0475,1159,,,
Odi,0.1128,1160,,,
Fox,0.2306,1161,,,
Fla,0.1401,1162,,,
Fox,0.7141,1163,,,
Fox,0.0489,1164,,,
Osm,0.1422,1165,,,
Fox,0.1344,1166,,,
Red,0.0576,1167,,,
Fla,0.0321,1168,,,
Agr,0.0156,1169,,,
Fox,0.0558,1170,,,
Fla,0.1117,1171,,,
Fla,0.1001,1172,,,
Dead,0.1177,1173,,,
Red,0.1123,1174,,,
Fla,0.101,1175,,,
Tri,0.1658,1176,,,
Fla,0.316,1177,,,
Fla,0.0994,1178,,,
Red,0.1701,1179,,,
Odi,0.2153,1180,,,
Hor,0.24597,1181,,,
Fla,0.1738,1182,,,
Fla,0.2359,1183,,,
Hor,0.604,1184,,,
Tri,0.0322,1185,,,
Fla,0.137,1186,,,
Str,0.0823,1187,,,
Tri,0.1425,1188,,,
Fla,0.0998,1189,,,
Fox,0.0423,1190,,,
Fla,0.09,1191,,,
Fox,0.4059,1192,,,
Gold,0.0616,1193,,,
Fox,0.0447,1194,,,
Fla,0.1479,1195,,,
Fox,0.3464,1196,,,
Red,0.0482,1197,,,
Fox,0.2272,1198,,,
Red,0.0175,1199,,,
Odi,0.0915,1200,,,
Red,0.0615,1201,,,
Red,0.1388,1202,,,
Fox,0.1326,1203,,,
Tin,0.053,1204,,,
Fox,0.0222,1205,,,
Fox,0.8702,1206,,,
Sti,0.127,1207,,,
Fox,0.1071,1208,,,
Fla,0.0558,1209,,,
Fox,0.3436,1210,,,
Fla,0.176,1211,,,
Odi,0.1758,1212,,,
Fla,0.1102,1213,,,
Red,0.0583,1214,,,
Fla,0.1303,1215,,,
Red,0.042,1216,,,
Fox,0.0231,1217,,,
Red,0.1456,1218,,,
Sti,0.0963,1219,,,
Fox,0.2554,1220,,,
Fla,0.1032,1221,,,
Red,0.1108,1222,,,
Fox,0.6642,1223,,,
Fla,0.1768,1224,,,
Red,0.0103,1225,,,
Dead,0.1154,1226,,,
Fox,0.2503,1227,,,
Fox,0.0399,1228,,,
Fla,0.103,1229,,,
Hor,0.1075,1230,,,
Red,0.1458,1231,,,
Dead,0.1815,1232,,,
Red,0.093,1233,,,
Fla,0.1101,1234,,,
Fla,0.0674,1235,,,
Odi,0.1331,1236,,,
Fox,0.0568,1237,,,
Red,0.0231,1238,,,
Odi,0.0475,1239,,,
Red,0.0482,1240,,,
Fla,0.1716,1241,,,
Fla,0.0776,1242,,,
Odi,2.2989,1243,,,
Fox,0.0508,1244,,,
Fox,0.092,1245,,,
Sti,0.1815,1246,,,
Dead,0.1783,1247,,,
Fox,0.2323,1248,,,
Fox,0.0522,1249,,,
Red,0.0434,1250,,,
Dead,0.0805,1251,,,
Red,0.1754,1252,,,
Fox,0.218,1253,,,
Fox,0.1397,1254,,,
Fox,0.0542,1255,,,
Fox,0.7495,1256,,,
Fox,0.2123,1257,,,
Odi,0.5598,1258,,,
Fox,0.1362,1259,,,
Red,0.1966,1260,,,
Dead,0.2147,1261,,,
Odi,0.5549,1262,,,
Fox,0.1811,1263,,,
Hor,0.4461,1264,,,
Hor,0.7508,1265,,,
Fox,0.2471,1266,,,
Fla,0.0085,1267,,,
Bul,0.629,1268,,,
Odi,0.0388,1269,,,
Odi,0.2101,1270,,,
Odi,0.433,1271,,,
Fox,0.4265,1272,,,
Odi,0.1181,1273,,,
Tri,0.4145,1274,,,
Fox,0.2688,1275,,,
Fox,0.2378,1276,,,
Fla,0.1085,1277,,,
Dead,0.3854,1278,,,
Dead,0.1245,1279,,,
Fox,0.2154,1280,,,
Fox,0.3691,1281,,,
Dead,0.2417,1282,,,
Fox,0.1482,1283,,,
Odi,0.6546,1284,,,
Dead,0.266,1285,,,
Red,0.0406,1286,,,
Red,0.0578,1287,,,
Fox,0.072,1288,,,
Red,0.0583,1289,,,
Hor,0.6416,1290,,,
Fox,0.2587,1291,,,
Red,0.104,1292,,,
Fox,0.2594,1293,,,
Fla,0.049,1294,,,
Red,0.0766,1295,,,
Dead,0.2743,1296,,,
Fla,0.0523,1297,,,
Fox,0.1921,1298,,,
Odi,0.7603,1299,,,
Mint,0.4029,1300,,,
Fox,0.4796,1301,,,
Odi,0.1265,1302,,,
Red,0.1028,1303,,,
Fox,0.1266,1304,,,
Odi,0.4924,1305,,,
Dead,0.2929,1306,,,
Fox,0.6401,1307,,,
Red,0.0766,1308,,,
Red,0.0727,1309,,,
Fox,0.1232,1310,,,
Hor,0.1163,1311,,,
Fox,0.086,1312,,,
Red,0.1265,1313,,,
Red,0.0934,1314,,,
Fox,0.1876,1315,,,
Fox,0.0228,1316,,,
Dead,0.1888,1317,,,
Fox,0.0738,1318,,,
Dead,0.0784,1319,,,
Fox,0.078,1320,,,
Red,0.0387,1321,,,
Hor,0.4295,1322,,,
Fox,0.0817,1323,,,
Odi,0.4135,1324,,,
Red,0.0557,1325,,,
Fla,0.1096,1326,,,
Fox,0.4529,1327,,,
Dead,0.1423,1328,,,
Odi,0.1273,1329,,,
Dead,0.5314,1330,,,
Dead,0.2207,1331,,,
Dead,0.1086,1332,,,
Dead,0.269,1333,,,
Hor,0.0657,1334,,,
Dead,0.0927,1335,,,
Red,0.2007,1336,,,
Fla,0.0631,1337,,,
Dead,0.2061,1338,,,
Fox,0.0221,1339,,,
Dead,0.3023,1340,,,
Dead,0.1878,1341,,,
Red,0.0605,1342,,,
Dead,0.1567,1343,,,
Agr,0.0231,1344,,,
Odi,0.0707,1345,,,
Fox,0.1,1346,,,
Dead,0.2731,1347,,,
Red,0.056,1348,,,
Fox,0.562,1349,,,
Agr,0.0171,1350,,,
Red,0.1993,1351,,,
Fox,0.2077,1352,,,
Fox,0.0167,1353,,,
Dead,0.2378,1354,,,
Dead,0.4612,1355,,,
Red,0.0336,1356,,,
Fla,0.0459,1357,,,
Fox,0.4863,1358,,,
Fox,0.2528,1359,,,
Fox,0.0893,1360,,,
Fox,0.1755,1361,,,
Fox,0.1058,1362,,,
Hor,0.0487,1363,,,
Fla,0.033,1364,,,
Fox,0.0385,1365,,,
Hor,0.0248,1366,,,
Fla,0.2376,1367,,,
Red,0.059,1368,,,
Red,0.0459,1369,,,
Fla,0.134,1370,,,
Red,0.1198,1371,,,
Fla,0.0563,1372,,,
Fla,0.041,1373,,,
Red,0.0699,1374,,,
Red,0.1613,1375,,,
Red,0.041,1376,,,
Red,0.1537,1377,,,
Agr,0.0412,1378,,,
Odi,0.5842,1379,,,
Fla,0.1454,1380,,,
Fla,0.1163,1381,,,
Dead,0.0823,1382,,,
Fox,0.0536,1383,,,
Fox,0.2234,1384,,,
Fla,0.0551,1385,,,
Odi,0.0766,1386,,,
Red,0.0844,1387,,,
Fox,0.2762,1388,,,
Dead,0.2293,1389,,,
Sti,0.3695,1390,,,
Arr,0.1088,1391,,,
Tri,0.7901,1392,,,
Red,0.0227,1393,,,
Fox,0.1802,1394,,,
Odi,0.2931,1395,,,
Red,0.1985,1396,,,
Red,0.0768,1397,,,
Hor,0.0687,1398,,,
Dead,0.1105,1399,,,
Red,0.102,1400,,,
Red,0.0866,1401,,,
Tri,0.7599,1402,,,
Red,0.0821,1403,,,
Sti,0.1266,1404,,,
Red,0.2228,1405,,,
Red,0.0432,1406,,,
Fla,0.1796,1407,,,
Fla,0.1881,1408,,,
Sti,0.0983,1409,,,
Red,0.1085,1410,,,
Red,0.1244,1411,,,
Fla,0.0562,1412,,,
Red,0.6054,1413,,,
Red,0.1278,1414,,,
Str,0.1506,1415,,,
Odi,0.0815,1416,,,
Red,0.0705,1417,,,
Red,0.0489,1418,,,
Fox,0.125,1419,,,
Fox,0.2227,1420,,,
Fox,0.1007,1421,,,
Fla,0.0608,1422,,,
Fla,0.1166,1423,,,
Fla,0.0712,1424,,,
Fla,0.1229,1425,,,
Fox,0.3258,1426,,,
Fox,0.0082,1427,,,
Red,0.1307,1428,,,
Fox,0.1418,1429,,,
Fox,0.013,1430,,,
Fla,0.0358,1431,,,
Red,0.0265,1432,,,
Red,0.0225,1433,,,
Fox,0.0827,1434,,,
Fox,0.0382,1435,,,
Fox,0.1358,1436,,,
Hor,0.1187,1437,,,
Fla,0.1527,1438,,,
Bul,0.295,1439,,,
Fox,0.4427,1440,,,
Fox,0.1974,1441,,,
Fox,0.1659,1442,,,
Red,0.1356,1443,,,
Red,0.0708,1444,,,
Fla,0.1845,1445,,,
Red,0.0571,1446,,,
Fox,0.2165,1447,,,
Odi,0.1536,1448,,,
Odi,0.1221,1449,,,
Red,0.0404,1450,,,
Fox,0.2517,1451,,,
Hor,0.0704,1452,,,
Fla,0.1396,1453,,,
Fox,0.0765,1454,,,
Fox,0.1315,1455,,,
Fox,0.608,1456,,,
Red,0.1856,1457,,,
Red,0.1545,1458,,,
Odi,0.3999,1459,,,
Fla,0.0692,1460,,,
Red,0.1388,1461,,,
Fox,0.3285,1462,,,
Fox,0.3311,1463,,,
Red,0.2238,1464,,,
Fox,0.1501,1465,,,
Hor,0.1522,1466,,,
Fox,0.3231,1467,,,
Odi,0.1227,1468,,,
Fox,0.5856,1469,,,
Dead,0.2233,1470,,,
Dead,0.2079,1471,,,
Odi,0.1475,1472,,,
Dead,0.3095,1473,,,
Dead,0.1961,1474,,,
Fox,0.114,1475,,,
Fox,0.4793,1476,,,
Tri,0.271,1477,,,
Odi,0.1935,1478,,,
Fox,0.2477,1479,,,
Tri,0.5216,1480,,,
Sti,0.4765,1481,,,
Fox,0.0538,1482,,,
Fox,0.044,1483,,,
Fox,0.3586,1484,,,
Fox,0.2724,1485,,,
Hor,0.6853,1486,,,
Dead,0.149,1487,,,
Red,0.073,1488,,,
Fla,0.0328,1489,,,
Fla,0.0701,1490,,,
Red,0.1005,1491,,,
Red,0.2098,1492,,,
Fla,0.1562,1493,,,
Fox,0.0457,1494,,,
Fox,0.1803,1495,,,
Fox,0.6681,1496,,,
Odi,0.6381,1497,,,
Odi,0.7026,1498,,,
Odi,1.2942,1499,,,
Odi,0.7994,1500,,,
Odi,0.9805,1501,,,
Odi,1.132,1502,,,
Odi,1.526,1503,,,
Odi,1.1185,1504,,,
Odi,0.905,1505,,,
Hor,0.2647,1506,,,
Odi,1.1059,1507,,,
Odi,1.0775,1508,,,
Odi,1.4781,1509,,,
Odi,1.2494,1510,,,
Odi,1.3055,1511,,,
Odi,0.982,1512,,,
Odi,1.487,1513,,,
Odi,1.9865,1514,,,
