Morpho,mass.g
Clover,0.1783
Goldenrod,0.3774
Goldenrod,0.4084
Goldenrod,1.2009
Goldenrod,0.6081
Goldenrod,0.4785
Goldenrod,0.6913
Goldenrod,0.8597
Goldenrod,2.6872
Goldenrod,3.1094
Goldenrod,0.286
Goldenrod,5.02
Goldenrod,0.7027
Goldenrod,0.3072
Goldenrod,1.9371
Goldenrod,0.5934
Goldenrod,4.79007
Goldenrod,3.377
Goldenrod,0.1047
Goldenrod,0.582
Goldenrod,0.8705
Goldenrod,0.6641
Goldenrod,0.2684
Goldenrod,1.1974
Goldenrod,0.1415
Goldenrod,0.3361
Goldenrod,0.6627
Goldenrod,0.1192
Goldenrod,0.1036
Goldenrod,1.8136
Goldenrod,0.9303
Goldenrod,0.04412
Goldenrod,1.2445
Goldenrod,0.0965
Goldenrod,0.5753
Goldenrod,2.1516
Goldenrod,2.6245
Horsetail,2.0035
Bunched Basil,0.0217
Bunched Basil,0.0336
Bunched Basil,0.0147
Bunched Basil,0.0577
Bunched Basil,0.0408
Bunched Basil,0.1118
Bunched Basil,0.0553
Bunched Basil,0.001
Bunched Basil,0.0536
Bunched Basil,0.0526
Bunched Basil,0.0241
Bunched Basil,0.1431
Bunched Basil,0.1125
Bunched Basil,0.0675
Bunched Basil,0.0476
Bunched Basil,0.0833
Bunched Basil,0.0542
Clover,0.018
Clover,0.0269
Club Leaf,0.0542
Club Leaf,0.0372
Club Leaf,0.0255
Club Leaf,0.0549
Club Leaf,0.014
Comb Tree,7.9
Feather Plant,0.016
Feather Plant,0.0077
Feather Plant,0.024
Feather Plant,0.0554
Goldenrod,6.3622
Horsetail,1.4
Horsetail,0.9396
Horsetail,0.7601
Horsetail,0.3306
Horsetail,0.1764
Horsetail,0.6896
Horsetail,0.5172
Mini Rod,0.381
Mini Rod,1.6
Mini Rod,0.4
Mini Rod,0.2752
Mini Rod,0.3475
Mini Rod,0.1675
Mini Rod,0.2815
Mini Rod,0.0817
Mini Rod,0.9815
Mini Rod,0.1349
Mini Rod,0.5123
Mini Rod,0.4282
Mini Rod,0.532
Mini Rod,0.2047
Mini Rod,0.6553
Mini Rod,0.3195
Mini Rod,0.468
Mini Rod,0.7272
Mini Rod,0.7435
Mini Rod,0.6579
Mini Rod,0.3163
Mini Rod,0.1853
Mini Rod,0.0655
Mini Rod,0.5738
Mini Rod,0.1807
Mini Rod,0.2
Mini Rod,0.1192
Red Spade,0.3625
Red Spade,0.0931
Red Spade,0.0684
Red Spade,0.1354
Red Spade,0.1534
Spade Leaf,0.0573
Spade Leaf,0.2178
Spade Leaf,0.0595
Spade Leaf,0.316
Spade Leaf,0.2486
Spade Leaf,0.1074
Spade Leaf,0.0152
Spade Leaf,0.0139
Spade Leaf,0.0655
Spade Leaf,0.2783
Spade Leaf,0.0325
Spade Leaf,0.2606
Spade Leaf,0.0458
Spade Leaf,0.1345
Spade Leaf,0.1943
Spade Leaf,0.1159
Spade Leaf,0.0785
Spade Leaf,0.0412
Spade Leaf,0.1075
Spade Leaf,0.0795
Spade Leaf,0.1072
Spade Leaf,0.1263
Woody Serrated Leaf,2.1
Woody Serrated Leaf,8.7
Woody Serrated Leaf,0.0375
Woody Serrated Leaf,16.9
Woody Tri Leaf,0.7459
Woody Tri Leaf,1.2046
Woody Tri Leaf,0.7078
Woody Tri Leaf,0.5938
Woody Tri Leaf,0.4652
Yellow-centered Lavender Flower,0.7651
Bunched Basil,0.043
Bunched Basil,0.0721
Bunched Basil,0.0438
Bunched Basil,0.0626
Bunched Basil,0.0309
Bunched Basil,0.0264
Bunched Basil,0.0198
Bunched Basil,0.0037
Bunched Basil,0.0111
Bunched Basil,0.0147
Bunched Basil,0.0133
Bunched Basil,0.0201
Bunched Basil,0.0096
Bunched Basil,0.0289
Bunched Basil,0.0339
Bunched Basil,0.0187
Bunched Basil,0.0436
Bunched Basil,0.0291
Bunched Basil,0.0163
Bunched Basil,0.0168
Bunched Basil,0.0107
Bunched Basil,0.0073
Bunched Basil,0.054
Bunched Basil,0.0035
Chimney Brush Grass,0.0386
Clover,0.0097
Doily Leaf,0.0173
Feather Leaf,0.0502
Feather Leaf,0.0294
Feather Leaf,0.3002
Feather Leaf,0.0049
Feather Leaf,0.0961
Fuzzy Red Rosette,0.3907
Fuzzy Sheath,0.0781
