Morpho,mass.g
Unknown,0.0175
Unknown,0.0148
Unknown,0.0792
Unknown,0.0164
Morpho 1,0.0742
Morpho 1,0.5451
Morpho 1,0.057
Morpho 1,0.1413
Morpho 1,0.0345
Morpho 1,0.1639
Morpho 1,0.1315
Morpho 1,0.2124
Morpho 1,0.7738
Morpho 2,0.0335
Morpho 2,0.7891
Morpho 3,0.0235
Morpho 3,0.0432
Morpho 3,0.2516
