Field Name ,Weight,
Mon,0.2226,1472
Fla,0.2542,1471
Fla,0.5143,1470
Fox,0.703,1469
Fox,0.4127,1468
Fox,0.2262,1467
Fox,0.4606,1466
Fox,0.4488,1465
Tri,0.7709,1464
Fin,0.1976,1463
Mon,0.0153,1462
Cla,0.7959,1461
Cla,0.156,1460
Cla,0.0484,1459
Cla,0.1087,1458
Cla,0.133,1457
Mon,0.2095,1456
Cla,0.4423,1455
Fox,0.372,1454
Fox,0.5123,1453
Cla,0.357,1452
Cla,0.4366,1451
Cla,0.2993,1450
Agr,0.4354,1449
Fla,0.3285,1448
Mon,0.2599,1447
Cla,0.9385,1446
Mon,0.0913,1445
Cla,1.0423,1444
Fox,0.4756,1443
Fox,0.1713,1442
Fox,0.2963,1441
Fox,0.4316,1440
Fox,0.3146,1439
Fox,0.4963,1438
Fox,0.588,1437
Red,0.6332,1436
Mon,0.2693,1435
Tri,0.1811,1434
Fox,0.5376,1433
Cla,0.6312,1432
Tri,0.6842,1431
Red,0.9436,1430
Tri,0.7302,1429
Cla,0.4892,1428
Arr,0.16,1427
Mon,0.5039,1426
Tri,0.6307,1425
Tri,0.0923,1424
Tri,0.1421,1423
Fox,0.5001,1422
Red,0.7935,1421
Mon,0.1689,1420
Mon,0.2071,1419
Mon,0.3063,1418
Fox,0.1535,1417
Tri,1.0016,1416
Fox,0.0791,1415
Tri,0.6968,1414
Tri,0.4807,1413
Tri,0.0641,1412
Mon,0.1354,1411
Fox,0.1697,1410
Tri,0.6082,1409
Tri,0.2571,1408
Tri,0.9764,1407
Tri,0.5004,1406
Fla,0.472,1405
Fin,0.342,1404
Tri,0.5088,1403
Mon,0.6662,1402
Fin,0.6295,1401
Tri,0.9797,1400
Tri,0.3923,1399
Mon,0.141,1398
Tri,0.5635,1397
Tri,0.1353,1396
Tri,0.6481,1395
Tri,0.9979,1394
Tri,0.3087,1393
Tri,0.1372,1392
Tri,0.1198,1391
Fox,0.4763,1390
Tri,0.6326,1389
Tri,0.3583,1388
Mon,0.4748,1387
Mon,0.231,1386
Mon,0.4333,1385
Mon,0.1318,1384
Mon,0.0674,1383
Mon,0.0669,1382
Mon,0.1713,1381
Mon,0.2608,1380
Tri,0.7117,1379
Tri,0.2492,1378
Tri,0.2179,1377
Tri,0.6165,1376
Mon,0.3009,1375
Fox,0.3458,1374
Tri,0.1976,1373
Mon,0.0866,1372
Fox,0.3699,1371
Tri,0.6366,1370
Tri,1.063,1369
Tri,0.6796,1368
Mon,0.3693,1367
Tri,1.2436,1366
Cla,0.7371,1365
Mon,0.1263,1364
Mon,0.2092,1363
Cla,0.7938,1362
Mon,0.1824,1361
Mon,0.3412,1360
Mon,0.7385,1359
Mon,0.1342,1358
Mon,0.1099,1357
Mon,0.7479,1356
Fox,0.8681,1355
Mon,0.147,1354
Mon,0.0443,1353
Cla,0.322,1352
Red,0.6879,1351
Tri,0.2951,1350
Tri,1.4637,1349
Mon,0.5136,1348
Tri,0.172,1347
Mon,0.8271,1346
Mon,0.1371,1345
Mon,0.2901,1344
Mon,1.42,1343
Mon,0.303,1342
Mon,0.3798,1341
Tri,0.1455,1340
Mon,0.6476,1339
Mon,0.4695,1338
Tri,0.2226,1337
Mon,0.089,1336
Mon,0.2991,1335
Tri,0.1202,1334
Tri,0.5284,1333
Mon,0.6189,1332
Mon,0.0901,1331
Mon,0.2461,1330
Mon,0.3004,1329
Fox,0.4942,1328
Fox,0.5879,1327
Fox,0.4031,1326
Cla,0.217,1325
Fox,0.1698,1324
Fla,0.2403,1323
Cla,0.2174,1322
Fox,0.9013,1321
Fla,0.1034,1320
Mon,0.6751,1319
Fox,0.9609,1318
Tri,0.5295,1317
Cla,0.2951,1316
Tri,0.1303,1315
Tri,0.3941,1314
Tri,0.8876,1313
Mon,0.2351,1312
Mon,0.5278,1311
Mon,0.3064,1310
Mon,0.1105,1309
Mon,0.3313,1308
Mon,0.4046,1307
Cla,0.1645,1306
Cla,0.24,1305
Mon,0.1238,1304
Mon,0.2827,1303
Mon,0.5415,1302
Mon,0.4708,1301
Tri,0.401,1300
Fin,0.4182,1299
Mon,0.2828,1298
Tri,0.65,1297
Fox,0.7945,1296
Mon,0.8276,1295
Mon,0.2046,1294
Tri,0.7022,1293
Mon,0.9972,1292
Mon,0.4913,1291
Tri,0.2717,1290
Tri,0.9475,1289
Tri,0.1701,1288
Tri,0.4442,1287
Mon,0.4983,1286
Mon,0.4616,1285
Mon,0.1105,1284
Mon,0.5099,1283
Mon,0.0925,1282
Mon,0.2961,1281
Tri,0.2552,1280
Tri,0.4043,1279
Tri,0.313,1278
Mon,0.0129,1277
Fox,0.2663,1276
Fla,0.1469,1275
Cla,0.0614,1274
Cla,0.1918,1273
Fox,0.122,1272
Fla,0.1113,1271
