Plant types,Sites,Age(years),Shoot mass(g),Actual stand density(no./m2),Ann.Rainfall (mm),Ann. Mean Temp.(oC),PET(mm),ALT.(m),"LAT.(N, deg.)","LON.(E, deg.)",Reference
Eucalyptus tereticornis,"India, Uttar Pradesh",6,45945.9459,0.111,-9999,-9999,-9999,200-400,29 N,77 W,Cannell (1982).   Page 78
Eucalyptus tereticornis,"India, Uttar Pradesh",7,101285.714,0.07,-9999,-9999,-9999,200-400,29 N,77 W,Cannell (1982).   Page 78
Eucalyptus tereticornis,"India, Uttar Pradesh",8,106764.706,0.136,-9999,-9999,-9999,200-400,29 N,77 W,Cannell (1982).   Page 78
Eucalyptus tereticornis,"India, Uttar Pradesh",9,212023.81,0.084,-9999,-9999,-9999,200-400,29 N,77 W,Cannell (1982).   Page 78
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",5,4920.63492,0.315,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",8,23130.8411,0.2568,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",14,53012.0482,0.166,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",26,133703.704,0.162,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",30,224532.086,0.1496,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",40,476366.843,0.1134,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 79
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",10,17272.3194,0.2229,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",16,31416.8378,0.1461,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",22,61825.7261,0.1687,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",28,105018.821,0.1594,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",35,142676.623,0.1741,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Shorea robusta,"India, Uttar Pradesh,Gorakhpur Forest",38,332075.472,0.0742,1159.85,25.325,1417.44,81,27 N,83 30'E,Cannell (1982).   Page 80
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",5,23984.5261,0.2068,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",8,51930.0051,0.1943,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",14,155479.452,0.1022,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",26,335651.075,0.0791,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",30,442668.622,0.0682,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Tectona grandis,"India, Uttar Pradesh,Gorakhpur Forest",40,1110825.69,0.0545,1220.81,25.225,1392.04,81,27 N,83 53'E,Cannell (1982).   Page 83
Picea sitchensis,"Ireland, County Wicklow",33,71356.383,0.376,1014.48,8.675,531.54,350,53 00'N,6 30'W,Cannell (1982).   Page 85
Abies alba,"Italy, Vallombrosa region, near Florence",10,792,2.5,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",15,3017.14286,1.75,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",20,33869.7017,0.2584,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",25,55183.4862,0.218,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",30,81388.0126,0.1902,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",35,113043.478,0.1679,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 87
Abies alba,"Italy, Vallombrosa region, near Florence",40,149533.333,0.15,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",45,194924.242,0.132,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",50,242052.145,0.1189,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",55,297924.528,0.106,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",60,363617.021,0.094,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",65,444945.189,0.0821,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 88
Abies alba,"Italy, Vallombrosa region, near Florence",70,509617.918,0.0759,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Abies alba,"Italy, Vallombrosa region, near Florence",75,585446.686,0.0694,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Abies alba,"Italy, Vallombrosa region, near Florence",80,669510.269,0.0633,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Abies alba,"Italy, Vallombrosa region, near Florence",85,740404.04,0.0594,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Abies alba,"Italy, Vallombrosa region, near Florence",90,827504.554,0.0549,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Abies alba,"Italy, Vallombrosa region, near Florence",95,912695.313,0.0512,691.63,12.49166667,902.7,500-1200,"43 44,N",11 34'E,Cannell (1982).   Page 89
Acacia mollissima,"Japan,Shikoku, Ehime Prefecture",5,20865.8009,0.1155,1578.61,14.575,976.12,-9999,33 30'N,132 30'E,Cannell (1982).   Page 94
Acacia mollissima,"Japan,Shikoku, Ehime Prefecture",5,13877.2077,0.2378,1578.61,14.575,976.12,-9999,33 30'N,132 30'E,Cannell (1982).   Page 94
Acacia dealbata,"Japan,Shikoku, Ehime Prefecture",5,22338.403,0.1052,1578.61,14.575,976.12,-9999,33 30'N,132 30'E,Cannell (1982).   Page 94
Acacia dealbata,"Japan,Shikoku, Ehime Prefecture",5,10440.8353,0.2155,1578.61,14.575,976.12,-9999,33 30'N,132 30'E,Cannell (1982).   Page 94
Cinnamomum camphora,"Japan, Chiba Perfecture",46,156880,0.125,1756.75,15.13333333,980.72,200,35 09'N,140 09'E,Cannell (1982).   Page 106
Fagus crenata,"Japan,Niigata Perfecture",35,39006.6858,0.5235,1541.73,11.01666667,828.93,400,37 30'N,139 00'E,Cannell (1982).   Page 111
Fagus crenata,"Japan,Niigata Perfecture",41,98215.9195,0.2186,1541.73,11.01666667,828.93,470,37 30'N,139 00'E,Cannell (1982).   Page 111
Fagus crenata,"Japan,Niigata Perfecture",50,87168.6108,0.2829,1541.73,11.01666667,828.93,580,37 30'N,139 00'E,Cannell (1982).   Page 111
Abies sachalinensis,"Japan, Hokkaido, Takikawa Perfecture, Tokiwa city",12,5612.61922,0.2726,1074.76,5.258333333,652.55,100-160,43 33'N,142 10'E,Cannell (1982).   Page 126
Abies sachalinensis,"Japan, Hokkaido, Takikawa Perfecture, Tokiwa city",23,28664.1428,0.1849,1074.76,5.258333333,652.55,100-160,43 33'N,142 10'E,Cannell (1982).   Page 126
Abies sachalinensis,"Japan, Hokkaido, Takikawa Perfecture, Tokiwa city",29,54169.5865,0.1427,1074.76,5.258333333,652.55,100-160,43 33'N,142 10'E,Cannell (1982).   Page 126
Abies sachalinensis,"Japan, Hokkaido, Takikawa Perfecture, Tokiwa city",35,166553.48,0.1178,1074.76,5.258333333,652.55,100-160,43 33'N,142 10'E,Cannell (1982).   Page 126
Abies sachalinensis,"Japan, Hokkaido, Tokyo University Forest",26,38958.3333,0.24,1080.2,4.266666667,629.1,230,43 13'N,142 23'E,Cannell (1982).   Page 127
C. obtusa with bamboo understorey,"Japan, Chonba Perfecture",28,15015.791,0.3483,1787.77,14.175,1001.56,680-760,35 N,138 E,Cannell (1982).   Page 134
C. obtusa with bamboo understorey,"Japan, Chonba Perfecture",28,57834.3313,0.2004,1787.77,14.175,1001.56,680-760,35 N,138 E,Cannell (1982).   Page 134
Chamaecyparis obtusa,"Japan,Shiga Perfecture, Hino",30,40285.7143,0.35,1478.86,13.375,920.09,440,35 00E,136 20'E,Cannell (1982).   Page 135
Chamaecyparis obtusa,"Japan,Shiga Perfecture, Hino",40,202307.692,0.13,1478.86,13.375,920.09,440,35 00E,136 20'E,Cannell (1982).   Page 135
Chamaecyparis obtusa,"Japan, Kyushu",36,170552.147,0.1141,2473.56,12.29166667,829.45,-9999,33 N,131 E,Cannell (1982).   Page 136
Chamaecyparis obtusa,"Japan, Kyushu",51,182593.56,0.1149,2473.56,12.29166667,829.45,-9999,33 N,131 E,Cannell (1982).   Page 136
Chamaecyparis obtusa,"Japan, Kyushu",51,150505.902,0.1186,2473.56,12.29166667,829.45,-9999,33 N,131 E,Cannell (1982).   Page 136
Chamaecyparis obtusa,"Japan, Kyushu",62,243379.447,0.1012,2473.56,12.29166667,829.45,-9999,33 N,131 E,Cannell (1982).   Page 136
Chamaecyparis obtusa,"Japan, Kyushu",62,91585.1272,0.2555,2473.56,12.29166667,829.45,-9999,33 N,131 E,Cannell (1982).   Page 136
Chamaecyparis obtusa,Japan,30,86519.7335,0.1951,1910.455,12.7625,868.32,350,33 N,131 E,Cannell (1982).   Page 137
Chamaecyparis obtusa,Japan,30,93637.3874,0.1776,1910.455,12.7625,868.32,351,33 N,131 E,Cannell (1982).   Page 137
Chamaecyparis obtusa,Japan,30,79351.4545,0.2097,1910.455,12.7625,868.32,352,33 N,131 E,Cannell (1982).   Page 137
Chamaecyparis obtusa,Japan,30,76213.5922,0.2266,1910.455,12.7625,868.32,353,33 N,131 E,Cannell (1982).   Page 137
Kumamoto Prefecture,"Japan, Kumamoyo Perfecture",45,74794.1176,0.34,2049.78,15.65,949.14,750,32 30'N,130 30'E,Cannell (1982).   Page 137
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,121440.972,0.1152,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,127604.167,0.1152,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,113932.692,0.104,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,119423.077,0.104,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,147443.182,0.0704,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,154829.545,0.0704,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,187331.081,0.0592,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,195777.027,0.0592,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 138
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,161805.556,0.0576,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,168576.389,0.0576,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,193933.824,0.0544,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,202757.353,0.0544,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,158705.357,0.0448,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,166964.286,0.0448,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",45,159051.724,0.0464,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Nara Prefecture",46,167241.379,0.0464,2113.59,12.51666667,931.53,1000,34 04'N,135 30'E,Cannell (1982).   Page 139
Chamaecyparis obtusa,"Japan, Tochigi Prefecture, near Yaita City",17,26222.2222,0.36,1229.91,12.625,860.15,600,36 47'E,139 56'E,Cannell (1982).   Page 140
Chamaecyparis obtusa,"Japan, Tochigi Prefecture, near Yaita City",48,166422.764,0.123,1229.91,12.625,860.15,730,36 47'E,139 56'E,Cannell (1982).   Page 140
Chamaecyparis obtusa,"Japan, Mie Prefecture, near Owase city",40,124386.617,0.1345,1777.66,12.8,899.44,400-500,34 44'N,136 12'E,Cannell (1982).   Page 141
Chamaecyparis obtusa,"Japan, Mie Prefecture, near Owase city",40,107067.425,0.1231,1777.66,12.8,899.44,400-500,34 44'N,136 12'E,Cannell (1982).   Page 141
Chamaecyparis obtusa,"Japan, Mie Prefecture, near Owase city",38,124543.947,0.1206,1777.66,12.8,899.44,400-500,34 44'N,136 12'E,Cannell (1982).   Page 141
Chamaecyparis obtusa,"Japan, Kagawa Prefectire, Manno Town",20,29846.1538,0.26,1435.25,14.55833333,1013.24,150,34 10'N,133 40'E,Cannell (1982).   Page 142
Chamaecyparis obtusa,"Japan, Kagawa Prefectire, Manno Town",20,25619.8347,0.3025,1435.25,14.55833333,1013.24,150,34 10'N,133 40'E,Cannell (1982).   Page 142
Chamaecyparis obtusa,"Japan, Kagawa Prefectire, Manno Town",20,24736,0.3125,1435.25,14.55833333,1013.24,150,34 10'N,133 40'E,Cannell (1982).   Page 142
Chamaecyparis obtusa,"Japan, Kagawa Prefectire, Manno Town",20,26880.3946,0.3244,1435.25,14.55833333,1013.24,150,34 10'N,133 40'E,Cannell (1982).   Page 142
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Terakawa National Forest",42,166292.975,0.1338,-9999,-9999,-9999,1250,33 30'N,133 30'E,Cannell (1982).   Page 143
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Terakawa National Forest",42,153381.818,0.1375,-9999,-9999,-9999,1250,33 30'N,133 30'E,Cannell (1982).   Page 143
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Terakawa National Forest",42,152836.637,0.1463,-9999,-9999,-9999,1250,33 30'N,133 30'E,Cannell (1982).   Page 143
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Terakawa National Forest",42,158602.151,0.1488,-9999,-9999,-9999,1250,33 30'N,133 30'E,Cannell (1982).   Page 143
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Terakawa National Forest",42,145257.285,0.1613,-9999,-9999,-9999,1250,33 30'N,133 30'E,Cannell (1982).   Page 143
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",48,178037.7358,0.1325,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",50,148396.0948,0.1434,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",48,154500,0.16,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",49,54414.85634,0.2854,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",49,70202.42915,0.247,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Chamaecyparis obtusa,"Japan, Kochi Prefecture, Kubokawa Forest Station",50,64285.71429,0.3192,-9999,-9999,-9999,450,33 10'N,133 10'E,Cannell (1982).   Page 144
Cryptomeria japonica (overstorey) with Chamaecyparis obtusa (understorey),"Japan, Ehime Prefecture",8,9268.292683,0.41,1578.61,14.575,980.25,-9999,33 30'N,132 30'E,Cannell (1982).   Page 145
Cryptomeria japonica (overstorey) with Chamaecyparis obtusa (understorey),"Japan, Ehime Prefecture",68,504438.6423,0.0383,1578.61,14.575,980.25,-9999,33 30'N,132 30'E,Cannell (1982).   Page 145
Cryptomeria japonica (overstorey) with Chamaecyparis obtusa (understorey),"Japan, Ehime Prefecture",36,24736.84211,0.095,1578.61,14.575,980.25,-9999,33 30'N,132 30'E,Cannell (1982).   Page 145
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki",11,5700,1,1837.73,16.76666667,1030.67,100,32 45'N,130 00'E,Cannell (1982).   Page 146
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki",11,4715.789474,0.95,1837.73,16.76666667,1030.67,100,32 45'N,130 00'E,Cannell (1982).   Page 146
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki",22,17125,0.64,1837.73,16.76666667,1030.67,100,32 45'N,130 00'E,Cannell (1982).   Page 146
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki",22,17063.49206,0.63,1837.73,16.76666667,1030.67,100,32 45'N,130 00'E,Cannell (1982).   Page 146
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki",31,35527.77778,0.36,1837.73,16.76666667,1030.67,100,32 45'N,130 00'E,Cannell (1982).   Page 146
Cryptomeria japonica ,"Japan, Oita Prefecture",34,105926.4816,0.1333,1965.92,14.5,937.66,850,33 00'N,131 30'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Oita Prefecture",34,74795.08197,0.1952,1965.92,14.5,937.66,850,33 00'N,131 30'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Oita Prefecture",34,63388.42975,0.242,1965.92,14.5,937.66,850,33 00'N,131 30'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Miyazaki Prefecture",24,64644.54976,0.211,-9999,-9999,-9999,150,32 00'N,131 31'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Miyazaki Prefecture",34,99354.318,0.1239,-9999,-9999,-9999,150,32 00'N,131 31'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Miyazaki Prefecture",49,193351.8006,0.0722,-9999,-9999,-9999,150,32 00'N,131 31'E,Cannell (1982).   Page 147
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",10,11108.49057,0.424,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",10,6050,0.8,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",11,5025.176234,0.993,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",18,32677.16535,0.254,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",21,13505.53506,0.542,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",22,14190.98143,0.754,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",28,46978.41727,0.278,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",31,34945.35519,0.366,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Nagasaki Prefectrue, Hagashi-Nagasaki District",34,84750,0.12,2052.1,15.18333333,967.6,200-500,33 N,130 E,Cannell (1982).   Page 148
Cryptomeria japonica ,"Japan, Kyushu District, nr Hita city",28,161920,0.125,2072.7,13.18333333,873.39,300,33 20'N,131 00'E,Cannell (1982).   Page 149
Cryptomeria japonica ,"Japan, Kyushu District, nr Hita city",28,124260.8696,0.115,2072.7,13.18333333,873.39,300,33 20'N,131 00'E,Cannell (1982).   Page 149
Cryptomeria japonica ,"Japan, nr Kumamoto city",5,2677.966102,2.95,1810.28,16.65833333,1012.19,50,32 50'N,130 42'E,Cannell (1982).   Page 149
Cryptomeria japonica [a],"Japan, Hokkaido",29,34231.29252,0.3675,1080.2,4.266666667,631.91,230,43 13'N,142 23'E,Cannell (1982).   Page 150
C. japonica with bamboo understorey,"Japan, Hokkaido",28,22035.71429,0.28,1787.77,14.175,1005.57,680-700,35 N,138 E,Cannell (1982).   Page 150
C. japonica with bamboo understorey,"Japan, Hokkaido",28,74825.9861,0.1724,1787.77,14.175,1001.56,680-700,35 N,138 E,Cannell (1982).   Page 150
Cryptomeria japonica ,Japan,13,1730.48601,4.074,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,14,18090.9091,0.44,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,14,17585.034,0.588,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,17,48967.8349,0.2083,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,21,25162.4549,0.277,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,23,66242.7133,0.1887,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,Japan,23,42044.293,0.2935,1910.455,12.7625,868.32,-9999,33-35 N,131-136 E,Cannell (1982).   Page 151
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,18090.9091,0.44,1347.35,13.23333333,907.19,900,34 24'N,136 05'E,Cannell (1982).   Page 152
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,19359.7561,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 152
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,14548.8722,0.266,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 152
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,17900,0.2,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 152
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,31666.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 152
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",12,21613.6364,0.44,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 153
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",12,23445.122,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 153
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",12,18082.7068,0.266,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 153
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",12,24550,0.2,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 153
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",12,39416.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 153
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",14,26536.5854,0.41,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 154
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",14,28871.9512,0.328,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 154
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",14,24640,0.25,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 154
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",14,33050,0.2,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 154
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",14,56416.6667,0.12,2120.97,10.4,818.13,900,34 24'N,136 05'E,Cannell (1982).   Page 154
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",10,4110.15892,1.2019,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",15,8594.31901,0.6865,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",19,24028.4255,0.4503,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",24,40197.7894,0.3438,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",31,66679.7028,0.2557,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",45,152280.026,0.1557,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",51,201438.304,0.1321,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
Cryptomeria japonica ,"Japan,Nara Prefecture, Yoshino District",60,279591.837,0.098,3120.34,14.925,995.59,-9999,34 10'N,136 10'E,Cannell (1982).   Page 155
