Taxon,dbh.06,dbh.11,mass.kg.06,mass.kg.11
Acer saccharum,5.3,6.6,7.74333089,13.20776534
Acer saccharum,2,2.2,0.722208693,0.910795311
Acer saccharum,2.3,2.5,1.014876964,1.243257436
Acer saccharum,2.3,2.8,1.014876964,1.638202469
Acer saccharum,5.1,8.2,7.051196522,22.40274192
Acer saccharum,22.5,24.5,261.4437005,321.66483
Acer saccharum,1.4,1.5,0.303110067,0.35853936
Acer saccharum,3.2,3.6,2.267417914,3.020278865
Acer saccharum,7,8.2,15.24169074,22.40274192
Acer saccharum,3.3,3.8,2.443780127,3.445122962
Acer saccharum,2.4,2.7,1.125656027,1.499412652
Acer saccharum,2.8,,1.638202469,
Acer saccharum,1.4,,0.303110067,
Acer saccharum,1.8,2.9,0.558830149,1.784286965
Acer saccharum,3.8,4.1,3.445122962,4.145089959
Acer saccharum,2.5,2.7,1.243257436,1.499412652
Acer saccharum,2.3,2.4,1.014876964,1.125656027
Acer saccharum,3.3,4,2.443780127,3.903281985
Acer saccharum,1.6,,0.419531291,
Acer saccharum,5.8,6.8,9.643438568,14.2032814
Acer saccharum,2.2,2.2,0.910795311,0.910795311
Acer saccharum,33.7,37.5,698.9598041,906.5722227
Acer saccharum,1.7,2.5,0.486244006,1.243257436
Acer saccharum,2.9,3.3,1.784286965,2.443780127
Acer saccharum,1.9,,0.637437357,
Acer saccharum,1.4,,0.303110067,
Acer saccharum,4.4,4.6,4.922525804,5.485050244
Acer saccharum,1.3,,0.253079172,
Acer saccharum,2.8,3,1.638202469,1.93777815
Acer saccharum,4.9,5.4,6.396918156,8.103793884
Acer saccharum,2.2,2.4,0.910795311,1.125656027
Acer saccharum,1.6,1.8,0.419531291,0.558830149
Acer saccharum,1.7,2.2,0.486244006,0.910795311
Acer saccharum,2.3,2.7,1.014876964,1.499412652
Acer saccharum,1.8,2.2,0.558830149,0.910795311
Acer saccharum,2,2.3,0.722208693,1.014876964
Acer saccharum,3.2,3.4,2.267417914,2.627976493
Acer saccharum,3.7,4.3,3.228584318,4.654621925
Acer saccharum,2.7,2.7,1.499412652,1.499412652
Acer saccharum,5.9,6.8,10.0531801,14.2032814
Acer saccharum,4.8,5.3,6.083771812,7.74333089
Acer saccharum,4.2,5,4.395506422,6.719365742
Acer saccharum,3.1,3.3,2.098785869,2.443780127
Acer saccharum,3,3.3,1.93777815,2.443780127
Acer saccharum,1.9,2,0.637437357,0.722208693
Acer saccharum,4.4,4.9,4.922525804,6.396918156
Acer saccharum,1.1,,0.168520823,
Acer saccharum,4.9,6.5,6.396918156,12.72592001
Acer saccharum,1.8,,0.558830149,
Acer saccharum,3.2,3.9,2.267417914,3.669990691
Acer saccharum,3.9,6.4,3.669990691,12.25459009
Acer saccharum,5.6,7.7,8.853903651,19.22167454
Acer saccharum,1.6,1.9,0.419531291,0.637437357
Acer saccharum,2.8,4.3,1.638202469,4.654621925
Acer saccharum,5.9,7,10.0531801,15.24169074
Acer saccharum,5.6,6.8,8.853903651,14.2032814
Acer saccharum,7.5,8.5,18.02891635,24.45046062
Acer saccharum,3.8,3.9,3.445122962,3.669990691
Acer saccharum,2,2.3,0.722208693,1.014876964
Acer saccharum,2.7,3.3,1.499412652,2.443780127
Acer saccharum,1.9,2.6,0.637437357,1.367803214
Acer saccharum,2.6,3.1,1.367803214,2.098785869
Acer saccharum,2.5,2.9,1.243257436,1.784286965
Acer saccharum,4,4.5,3.903281985,5.199306229
Acer saccharum,2.6,2.6,1.367803214,1.367803214
Acer saccharum,4.3,4.8,4.654621925,6.083771812
Acer saccharum,5.2,5.7,7.392491526,9.243704847
Acer saccharum,6.4,6.8,12.25459009,14.2032814
Acer saccharum,3.2,3.3,2.267417914,2.443780127
Acer saccharum,3.5,3.6,2.820109229,3.020278865
Acer saccharum,8.8,10.2,26.60450708,38.10921776
Acer saccharum,1.7,,0.486244006,
Acer saccharum,2.6,2.7,1.367803214,1.499412652
Acer saccharum,2.9,,1.784286965,
Acer saccharum,4.7,5.3,5.779843804,7.74333089
Acer saccharum,2.7,,1.499412652,
Acer saccharum,5.3,6.1,7.74333089,10.90298415
Acer saccharum,5.1,5.7,7.051196522,9.243704847
Acer saccharum,3,3.2,1.93777815,2.267417914
Acer saccharum,2.6,,1.367803214,
Acer saccharum,4.7,,5.779843804,
Acer saccharum,4.5,4.8,5.199306229,6.083771812
Acer saccharum,3.3,3.5,2.443780127,2.820109229
Acer saccharum,3.4,3.5,2.627976493,2.820109229
Acer saccharum,4.2,4.5,4.395506422,5.199306229
Acer saccharum,1.9,,0.637437357,
Acer saccharum,4.1,6.3,4.145089959,11.79370504
Acer saccharum,5.9,6.9,10.0531801,14.71709024
Acer saccharum,6.2,6.7,11.34319366,13.70019602
Acer saccharum,4.6,5,5.485050244,6.719365742
Acer saccharum,7.3,8.7,16.88091575,25.87457714
Acer saccharum,3.5,5.5,2.820109229,8.473958934
Acer saccharum,1.5,2,0.35853936,0.722208693
Acer saccharum,6,8.5,10.47300401,24.45046062
Acer saccharum,1.5,,0.35853936,
Acer saccharum,4.4,4.7,4.922525804,5.779843804
Acer saccharum,3.2,3.8,2.267417914,3.445122962
Acer saccharum,5.3,6,7.74333089,10.47300401
Acer saccharum,1.8,,0.558830149,
Acer saccharum,2.4,2.6,1.125656027,1.367803214
Acer saccharum,5.5,5.5,8.473958934,8.473958934
Acer saccharum,2.6,3.5,1.367803214,2.820109229
Acer saccharum,1.6,,0.419531291,
Acer saccharum,8.1,11.9,21.74351384,55.46153811
Acer saccharum,4.6,5.7,5.485050244,9.243704847
Acer saccharum,3.2,,2.267417914,
Acer saccharum,10.5,12.3,40.89540261,60.10941738
Acer saccharum,2.3,3.1,1.014876964,2.098785869
Acer saccharum,2.4,3.8,1.125656027,3.445122962
Acer saccharum,5.6,6.8,8.853903651,14.2032814
Acer saccharum,2,3,0.722208693,1.93777815
Acer saccharum,2.8,3.8,1.638202469,3.445122962
Acer saccharum,2.3,2.6,1.014876964,1.367803214
Acer saccharum,6.1,7.6,10.90298415,18.61966841
Acer saccharum,5.4,6.2,8.103793884,11.34319366
Acer saccharum,8.7,9.6,25.87457714,32.88063012
Acer saccharum,6.4,10.2,12.25459009,38.10921776
Acer saccharum,1.7,,0.486244006,
