site,family,genus,species,height,biomass
PBM,Boraginaceae,Mertensia,fusiformis,15.2,0.133
PBM,Boraginaceae,Mertensia,fusiformis,16,0.07
PBM,Boraginaceae,Mertensia,fusiformis,10,0.032
PBM,Boraginaceae,Mertensia,fusiformis,13,0.116
PBM,Boraginaceae,Mertensia,fusiformis,12.8,0.083
PBM,Boraginaceae,Mertensia,fusiformis,13.7,0.082
PBM,Boraginaceae,Mertensia,fusiformis,16.1,0.086
PBM,Boraginaceae,Mertensia,fusiformis,18,0.081
PBM,Boraginaceae,Mertensia,fusiformis,30.2,0.36
PBM,Boraginaceae,Mertensia,fusiformis,9.8,0.064
PBM,Boraginaceae,Mertensia,fusiformis,17.2,0.119
PBM,Boraginaceae,Mertensia,fusiformis,10.2,0.02
PBM,Boraginaceae,Mertensia,fusiformis,12,0.028
PBM,Boraginaceae,Mertensia,fusiformis,6.7,0.021
PBM,Boraginaceae,Mertensia,fusiformis,18.3,0.019
PBM,Boraginaceae,Mertensia,fusiformis,2.7,0.009
PBM,Boraginaceae,Mertensia,fusiformis,8.6,0.006
PBM,Boraginaceae,Mertensia,fusiformis,2.7,0.012
PBM,Boraginaceae,Mertensia,fusiformis,6.3,0.029
PBM,Boraginaceae,Mertensia,fusiformis,6,0.008
PBM,Boraginaceae,Mertensia,fusiformis,3.2,0.004
PBM,Boraginaceae,Mertensia,fusiformis,8.5,0.019
PBM,Boraginaceae,Mertensia,fusiformis,5.3,0.009
PBM,Boraginaceae,Mertensia,fusiformis,6,0.01
PBM,Boraginaceae,Mertensia,fusiformis,6.8,0.013
PBM,Poaceae,Poa,pratensis,26.5,2.312
PBM,Poaceae,Poa,pratensis,9.6,0.028
PBM,Poaceae,Poa,pratensis,10.5,0.005
PBM,Poaceae,Poa,pratensis,15.2,0.009
PBM,Polygonaceae,Rumex,densiflorus,40.4,2.764
PBM,Polygonaceae,Rumex,densiflorus,15.6,0.122
PBM,Polygonaceae,Rumex,densiflorus,34.3,1.135
PBM,Polygonaceae,Rumex,densiflorus,19,0.161
PBM,Polygonaceae,Rumex,densiflorus,9.8,0.033
PBM,Polygonaceae,Rumex,densiflorus,32.5,1.537
PBM,Polygonaceae,Rumex,densiflorus,37.5,4.272
PBM,Polygonaceae,Rumex,densiflorus,38,2.59
PBM,Polygonaceae,Rumex,densiflorus,19.4,0.252
PBM,Polygonaceae,Rumex,densiflorus,17.3,0.166
PBM,Polygonaceae,Rumex,densiflorus,17.7,0.108
PBM,Polygonaceae,Rumex,densiflorus,,0.018
PBM,Polygonaceae,Rumex,densiflorus,11.5,0.069
PBM,Polygonaceae,Rumex,densiflorus,17,0.189
PBM,Polygonaceae,Rumex,densiflorus,12.5,0.018
PBM,Polygonaceae,Rumex,densiflorus,6.4,0.014
PBM,Polygonaceae,Rumex,densiflorus,6,0.012
PBM,Polygonaceae,Rumex,densiflorus,4.4,0.008
PBM,Polygonaceae,Rumex,densiflorus,4,0.006
PBM,Polygonaceae,Rumex,densiflorus,4.7,0.004
PBM,Polygonaceae,Rumex,densiflorus,4.3,0.003
PBM,Melanthiaceae,Veratrum,tenuipetalum,26.5,22.1
PBM,Melanthiaceae,Veratrum,tenuipetalum,64.2,18.07
PBM,Melanthiaceae,Veratrum,tenuipetalum,56.5,4.87
PBM,Melanthiaceae,Veratrum,tenuipetalum,56,5.55
PBM,Melanthiaceae,Veratrum,tenuipetalum,59.8,14.36
